iter	Passed	Remaining
0	10	10616
1	20	10259
2	30	10136
3	42	10620
4	51	10310
5	62	10377
6	71	10079
7	80	9975
8	90	9913
9	100	9988
10	109	9882
11	119	9818
12	129	9823
13	138	9743
14	148	9744
15	158	9766
16	166	9617
17	176	9641
18	185	9591
19	192	9424
20	201	9401
21	212	9464
22	222	9467
23	232	9471
24	241	9434
25	250	9383
26	260	9376
27	267	9282
28	274	9203
29	280	9082
30	290	9088
31	299	9062
32	307	9008
33	316	8984
34	324	8948
35	333	8931
36	340	8854
37	345	8751
38	354	8728
39	362	8690
40	370	8655
41	376	8598
42	385	8574
43	393	8549
44	404	8575
45	413	8577
46	424	8603
47	434	8612
48	441	8569
49	450	8553
50	458	8523
51	467	8520
52	473	8466
53	482	8447
54	489	8407
55	496	8369
56	501	8296
57	507	8243
58	514	8213
59	522	8187
60	531	8177
61	536	8112
62	542	8075
63	550	8045
64	558	8028
65	565	8005
66	570	7948
67	579	7936
68	584	7891
69	590	7850
70	599	7848
71	606	7816
72	611	7764
73	619	7748
74	627	7744
75	636	7734
76	644	7723
77	652	7717
78	660	7700
79	667	7676
80	673	7636
81	681	7634
82	690	7625
83	694	7572
84	701	7547
85	708	7530
86	713	7489
87	720	7462
88	727	7449
89	733	7417
90	739	7385
91	746	7369
92	752	7338
93	761	7342
94	769	7332
95	778	7327
96	785	7317
97	792	7298
98	799	7277
99	804	7243
100	811	7227
101	820	7223
102	826	7193
103	830	7158
104	838	7145
105	846	7140
106	853	7123
107	860	7106
108	869	7107
109	877	7100
110	884	7086
111	891	7068
112	899	7057
113	904	7030
114	909	7002
115	919	7005
116	928	7003
117	936	7000
118	944	6993
119	952	6985
120	957	6958
121	966	6958
122	975	6958
123	986	6965
124	993	6951
125	1001	6948
126	1008	6930
127	1015	6918
128	1022	6902
129	1025	6865
130	1030	6835
131	1036	6816
132	1044	6810
133	1049	6784
134	1058	6779
135	1066	6772
136	1073	6763
137	1082	6758
138	1088	6744
139	1095	6730
140	1102	6716
141	1108	6697
142	1115	6686
143	1123	6679
144	1130	6664
145	1135	6644
146	1144	6643
147	1152	6632
148	1159	6621
149	1165	6605
150	1171	6585
151	1177	6568
152	1184	6556
153	1189	6532
154	1194	6511
155	1201	6501
156	1210	6497
157	1216	6483
158	1222	6467
159	1229	6453
160	1236	6444
161	1244	6437
162	1252	6433
163	1261	6428
164	1268	6419
165	1276	6412
166	1284	6408
167	1291	6394
168	1298	6383
169	1305	6375
170	1311	6356
171	1317	6343
172	1325	6335
173	1332	6324
174	1342	6329
175	1347	6309
176	1353	6295
177	1361	6285
178	1368	6277
179	1376	6269
180	1383	6261
181	1390	6251
182	1397	6238
183	1404	6227
184	1411	6218
185	1416	6200
186	1425	6196
187	1432	6188
188	1441	6184
189	1446	6168
190	1455	6163
191	1461	6152
192	1468	6138
193	1474	6127
194	1479	6108
195	1486	6099
196	1495	6094
197	1502	6084
198	1508	6073
199	1517	6069
200	1524	6058
201	1530	6047
202	1539	6043
203	1548	6041
204	1553	6025
205	1562	6024
206	1569	6011
207	1575	5998
208	1582	5990
209	1590	5982
210	1597	5974
211	1605	5966
212	1612	5957
213	1619	5948
214	1626	5938
215	1633	5929
216	1639	5917
217	1649	5915
218	1657	5909
219	1664	5901
220	1673	5897
221	1681	5893
222	1689	5885
223	1697	5879
224	1703	5866
225	1708	5850
226	1713	5834
227	1720	5825
228	1726	5812
229	1732	5799
230	1739	5789
231	1746	5779
232	1752	5767
233	1760	5764
234	1767	5754
235	1775	5748
236	1782	5739
237	1789	5730
238	1794	5714
239	1800	5702
240	1806	5690
241	1813	5679
242	1820	5670
243	1826	5657
244	1832	5646
245	1839	5639
246	1846	5630
247	1854	5621
248	1861	5613
249	1868	5605
250	1878	5604
251	1884	5593
252	1893	5589
253	1898	5574
254	1905	5566
255	1911	5555
256	1920	5551
257	1927	5543
258	1934	5534
259	1939	5520
260	1946	5510
261	1954	5504
262	1960	5494
263	1967	5484
264	1974	5476
265	1980	5465
266	1987	5456
267	1994	5446
268	2002	5440
269	2009	5432
270	2016	5423
271	2022	5413
272	2030	5406
273	2037	5397
274	2043	5388
275	2050	5378
276	2056	5368
277	2064	5361
278	2070	5351
279	2077	5343
280	2085	5335
281	2091	5326
282	2098	5317
283	2106	5310
284	2113	5302
285	2120	5293
286	2128	5286
287	2134	5277
288	2142	5270
289	2149	5262
290	2155	5252
291	2161	5240
292	2168	5232
293	2175	5222
294	2180	5212
295	2187	5203
296	2194	5194
297	2200	5184
298	2207	5176
299	2213	5165
300	2220	5156
301	2228	5151
302	2235	5142
303	2242	5134
304	2248	5124
305	2255	5115
306	2262	5106
307	2268	5097
308	2277	5092
309	2283	5082
310	2290	5074
311	2296	5064
312	2304	5057
313	2311	5049
314	2317	5039
315	2323	5030
316	2330	5021
317	2337	5013
318	2343	5003
319	2350	4994
320	2357	4986
321	2363	4976
322	2370	4967
323	2376	4959
324	2384	4951
325	2390	4942
326	2397	4933
327	2403	4924
328	2409	4915
329	2417	4907
330	2423	4898
331	2430	4889
332	2437	4881
333	2443	4872
334	2450	4864
335	2457	4856
336	2464	4847
337	2471	4840
338	2477	4831
339	2484	4822
340	2491	4814
341	2498	4806
342	2504	4797
343	2511	4788
344	2518	4780
345	2524	4771
346	2531	4763
347	2537	4754
348	2544	4746
349	2551	4738
350	2559	4731
351	2565	4722
352	2572	4714
353	2579	4707
354	2585	4698
355	2592	4690
356	2599	4681
357	2605	4672
358	2612	4665
359	2619	4657
360	2626	4648
361	2632	4640
362	2639	4632
363	2646	4624
364	2653	4616
365	2660	4608
366	2666	4599
367	2673	4591
368	2680	4583
369	2687	4576
370	2694	4568
371	2701	4560
372	2708	4552
373	2714	4543
374	2721	4536
375	2728	4528
376	2735	4519
377	2742	4512
378	2748	4503
379	2755	4495
380	2762	4488
381	2769	4480
382	2776	4472
383	2782	4464
384	2789	4455
385	2795	4447
386	2802	4439
387	2809	4431
388	2816	4423
389	2822	4415
390	2829	4407
391	2836	4399
392	2843	4391
393	2849	4382
394	2856	4375
395	2862	4366
396	2869	4359
397	2876	4350
398	2883	4343
399	2891	4336
400	2897	4328
401	2904	4320
402	2911	4312
403	2918	4305
404	2925	4297
405	2932	4290
406	2939	4283
407	2947	4276
408	2953	4268
409	2960	4260
410	2967	4252
411	2973	4244
412	2980	4236
413	2987	4228
414	2994	4221
415	3001	4214
416	3008	4206
417	3014	4197
418	3021	4189
419	3028	4181
420	3034	4173
421	3041	4165
422	3048	4157
423	3054	4149
424	3061	4141
425	3067	4133
426	3076	4128
427	3083	4120
428	3090	4113
429	3097	4105
430	3103	4097
431	3110	4089
432	3117	4082
433	3123	4074
434	3130	4066
435	3138	4059
436	3145	4051
437	3151	4043
438	3159	4036
439	3165	4029
440	3173	4022
441	3180	4014
442	3187	4007
443	3195	4001
444	3201	3993
445	3208	3985
446	3215	3978
447	3222	3970
448	3229	3962
449	3235	3954
450	3242	3947
451	3248	3938
452	3255	3931
453	3262	3923
454	3269	3916
455	3276	3908
456	3282	3900
457	3289	3893
458	3296	3884
459	3303	3877
460	3310	3870
461	3317	3862
462	3323	3855
463	3330	3846
464	3337	3840
465	3344	3832
466	3351	3825
467	3358	3817
468	3365	3810
469	3372	3802
470	3378	3794
471	3386	3788
472	3392	3779
473	3399	3771
474	3405	3764
475	3413	3757
476	3420	3750
477	3427	3742
478	3434	3735
479	3440	3726
480	3447	3719
481	3453	3711
482	3461	3704
483	3468	3697
484	3474	3689
485	3482	3682
486	3488	3675
487	3496	3668
488	3503	3661
489	3510	3654
490	3517	3646
491	3524	3639
492	3531	3631
493	3538	3624
494	3546	3617
495	3553	3610
496	3560	3603
497	3567	3596
498	3576	3590
499	3583	3583
500	3590	3576
501	3597	3568
502	3606	3563
503	3613	3556
504	3621	3550
505	3628	3542
506	3635	3535
507	3643	3528
508	3650	3521
509	3661	3517
510	3669	3511
511	3678	3506
512	3689	3502
513	3700	3498
514	3713	3497
515	3724	3493
516	3733	3488
517	3743	3483
518	3754	3479
519	3764	3474
520	3775	3470
521	3786	3466
522	3795	3461
523	3803	3455
524	3811	3448
525	3820	3442
526	3828	3436
527	3837	3430
528	3845	3423
529	3854	3417
530	3862	3411
531	3870	3405
532	3878	3398
533	3887	3392
534	3894	3385
535	3904	3379
536	3911	3372
537	3920	3366
538	3927	3359
539	3939	3356
540	3948	3349
541	3956	3343
542	3967	3339
543	3975	3332
544	3984	3326
545	3992	3319
546	4002	3314
547	4010	3307
548	4019	3302
549	4030	3297
550	4038	3291
551	4049	3286
552	4058	3280
553	4069	3276
554	4082	3272
555	4091	3266
556	4101	3261
557	4111	3256
558	4120	3250
559	4131	3245
560	4142	3241
561	4152	3235
562	4164	3232
563	4173	3226
564	4182	3220
565	4191	3213
566	4199	3207
567	4209	3201
568	4218	3195
569	4226	3188
570	4238	3184
571	4247	3178
572	4256	3171
573	4264	3165
574	4275	3160
575	4283	3153
576	4292	3146
577	4300	3139
578	4309	3133
579	4321	3129
580	4331	3124
581	4341	3118
582	4349	3111
583	4360	3105
584	4370	3100
585	4381	3095
586	4391	3089
587	4399	3082
588	4406	3075
589	4417	3069
590	4429	3065
591	4437	3058
592	4448	3053
593	4456	3046
594	4467	3041
595	4476	3034
596	4488	3029
597	4498	3024
598	4508	3017
599	4517	3011
600	4527	3006
601	4538	3000
602	4548	2994
603	4561	2990
604	4571	2984
605	4583	2979
606	4595	2975
607	4608	2971
608	4618	2965
609	4628	2959
610	4639	2953
611	4648	2947
612	4659	2941
613	4668	2934
614	4677	2928
615	4684	2920
616	4694	2914
617	4706	2909
618	4715	2902
619	4724	2895
620	4733	2889
621	4742	2882
622	4749	2874
623	4759	2867
624	4766	2860
625	4776	2853
626	4783	2845
627	4792	2839
628	4801	2831
629	4813	2827
630	4830	2824
631	4854	2826
632	4885	2832
633	4903	2830
634	4911	2823
635	4921	2816
636	4931	2810
637	4940	2803
638	4950	2796
639	4958	2788
640	4966	2781
641	4974	2774
642	4985	2768
643	4993	2760
644	5005	2755
645	5018	2750
646	5031	2745
647	5040	2738
648	5051	2732
649	5059	2724
650	5068	2717
651	5076	2709
652	5086	2702
653	5095	2695
654	5103	2688
655	5114	2681
656	5121	2673
657	5131	2667
658	5139	2659
659	5147	2651
660	5155	2644
661	5165	2637
662	5173	2629
663	5182	2622
664	5189	2614
665	5198	2607
666	5205	2599
667	5214	2591
668	5222	2584
669	5230	2576
670	5240	2569
671	5248	2561
672	5255	2553
673	5263	2545
674	5270	2537
675	5280	2530
676	5288	2523
677	5297	2515
678	5306	2508
679	5314	2500
680	5322	2492
681	5329	2485
682	5341	2478
683	5348	2470
