iter	Passed	Remaining
0	21	21908
1	43	21479
2	70	23543
3	85	21397
4	94	18868
5	102	16928
6	108	15384
7	112	13925
8	118	12997
9	123	12214
10	128	11548
11	133	10991
12	138	10506
13	143	10085
14	148	9739
15	153	9414
16	158	9151
17	163	8923
18	168	8699
19	172	8476
20	177	8295
21	183	8137
22	189	8067
23	196	7994
24	203	7944
25	208	7814
26	213	7707
27	218	7599
28	223	7492
29	229	7406
30	234	7319
31	239	7238
32	244	7160
33	253	7209
34	260	7187
35	267	7173
36	274	7144
37	279	7082
38	287	7085
39	295	7088
40	301	7059
41	308	7037
42	315	7013
43	320	6974
44	327	6960
45	336	6986
46	345	7014
47	351	6961
48	356	6915
49	360	6858
50	366	6810
51	370	6759
52	375	6713
53	381	6675
54	386	6648
55	394	6644
56	401	6643
57	407	6613
58	412	6581
59	417	6544
60	423	6513
61	428	6477
62	433	6445
63	438	6414
64	443	6377
65	448	6345
66	453	6318
67	458	6288
68	463	6257
69	468	6228
70	473	6198
71	478	6170
72	484	6152
73	492	6159
74	497	6134
75	502	6113
76	508	6089
77	513	6064
78	518	6039
79	523	6015
80	528	5990
81	533	5970
82	538	5944
83	543	5924
84	548	5901
85	553	5882
86	558	5862
87	563	5840
88	568	5819
89	573	5795
90	578	5775
91	584	5765
92	590	5761
93	597	5757
94	603	5750
95	608	5732
96	613	5713
97	618	5696
98	623	5678
99	629	5663
100	634	5646
101	639	5630
102	645	5624
103	651	5610
104	656	5593
105	661	5576
106	666	5560
107	671	5545
108	676	5528
109	681	5513
110	686	5496
111	691	5481
112	696	5467
113	701	5452
114	706	5436
115	711	5422
116	716	5407
117	721	5392
118	727	5384
119	732	5369
120	737	5355
121	742	5340
122	747	5328
123	752	5315
124	757	5303
125	762	5291
126	767	5277
127	772	5264
128	777	5252
129	788	5276
130	797	5291
131	802	5277
132	807	5263
133	813	5258
134	818	5245
135	823	5234
136	828	5221
137	833	5208
138	838	5195
139	843	5183
140	848	5172
141	853	5159
142	858	5147
143	863	5135
144	868	5122
145	874	5113
146	879	5101
147	884	5091
148	889	5079
149	894	5068
150	899	5056
151	904	5044
152	909	5033
153	914	5023
154	919	5011
155	924	5001
156	929	4990
157	934	4980
158	939	4969
159	944	4959
160	949	4949
161	954	4939
162	959	4927
163	964	4916
164	969	4907
165	974	4896
166	979	4886
167	986	4884
168	992	4881
169	999	4879
170	1005	4876
171	1011	4870
172	1016	4860
173	1025	4869
174	1033	4871
175	1040	4869
176	1045	4859
177	1050	4849
178	1055	4839
179	1059	4828
180	1065	4819
181	1070	4809
182	1075	4799
183	1079	4789
184	1085	4780
185	1090	4771
186	1095	4761
187	1100	4753
188	1105	4742
189	1110	4732
190	1115	4724
191	1120	4714
192	1125	4705
193	1129	4694
194	1135	4686
195	1140	4676
196	1145	4668
197	1150	4659
198	1155	4649
199	1160	4640
200	1165	4631
201	1170	4622
202	1175	4615
203	1180	4607
204	1187	4603
205	1193	4600
206	1200	4599
207	1205	4590
208	1211	4585
209	1216	4576
210	1221	4568
211	1226	4559
212	1231	4550
213	1236	4542
214	1241	4534
215	1248	4529
216	1252	4520
217	1272	4565
218	1283	4576
219	1294	4587
220	1300	4583
221	1307	4580
222	1313	4575
223	1317	4565
224	1323	4557
225	1328	4548
226	1333	4539
227	1337	4530
228	1343	4522
229	1348	4513
230	1353	4504
231	1358	4495
232	1363	4487
233	1368	4479
234	1373	4470
235	1379	4466
236	1386	4463
237	1394	4465
238	1399	4456
239	1404	4447
240	1410	4441
241	1415	4432
242	1420	4423
243	1425	4415
244	1430	4407
245	1435	4399
246	1440	4391
247	1445	4382
248	1450	4373
249	1454	4364
250	1459	4356
251	1464	4348
252	1469	4339
253	1474	4331
254	1479	4323
255	1484	4314
256	1489	4307
257	1494	4298
258	1499	4290
259	1504	4282
260	1509	4274
261	1516	4272
262	1524	4272
263	1529	4265
264	1535	4258
265	1540	4249
266	1544	4241
267	1549	4233
268	1555	4226
269	1560	4219
270	1565	4210
271	1570	4202
272	1577	4200
273	1586	4202
274	1592	4199
275	1597	4191
276	1603	4185
277	1608	4178
278	1613	4170
279	1619	4163
280	1623	4155
281	1628	4147
282	1633	4139
283	1638	4131
284	1643	4123
285	1648	4115
286	1653	4108
287	1658	4100
288	1663	4092
289	1668	4084
290	1673	4077
291	1678	4069
292	1683	4061
293	1688	4054
294	1693	4046
295	1698	4040
296	1703	4033
297	1708	4025
298	1713	4018
299	1718	4010
300	1723	4003
301	1729	3996
302	1733	3988
303	1738	3980
304	1743	3973
305	1748	3966
306	1753	3958
307	1758	3951
308	1763	3943
309	1768	3936
310	1774	3932
311	1781	3928
312	1788	3924
313	1793	3917
314	1799	3913
315	1804	3905
316	1809	3899
317	1814	3891
318	1819	3884
319	1824	3877
320	1829	3870
321	1834	3862
322	1839	3855
323	1844	3848
324	1849	3841
325	1854	3833
326	1859	3826
327	1864	3819
328	1869	3812
329	1874	3805
330	1879	3798
331	1884	3791
332	1889	3783
333	1894	3776
334	1899	3770
335	1904	3762
336	1909	3755
337	1914	3748
338	1918	3741
339	1924	3735
340	1929	3728
341	1933	3720
342	1938	3714
343	1943	3706
344	1948	3699
345	1953	3692
346	1958	3686
347	1963	3679
348	1968	3672
349	1976	3670
350	1982	3665
351	1990	3663
352	1998	3662
353	2005	3660
354	2011	3653
355	2015	3646
356	2021	3640
357	2028	3638
358	2034	3631
359	2041	3629
360	2046	3622
361	2051	3615
362	2056	3608
363	2061	3601
364	2066	3594
365	2071	3588
366	2076	3581
367	2081	3574
368	2086	3567
369	2091	3560
370	2096	3554
371	2101	3547
372	2106	3540
373	2111	3533
374	2116	3526
375	2120	3519
376	2125	3512
377	2130	3506
378	2135	3499
379	2140	3493
380	2145	3486
381	2150	3479
382	2155	3472
383	2160	3465
384	2165	3459
385	2170	3453
386	2177	3448
387	2183	3444
388	2191	3441
389	2196	3435
390	2203	3431
391	2208	3425
392	2213	3419
393	2219	3413
394	2224	3407
395	2229	3400
396	2234	3393
397	2239	3387
398	2244	3380
399	2249	3373
400	2254	3367
401	2259	3360
402	2264	3354
403	2269	3347
404	2274	3341
405	2279	3334
406	2284	3328
407	2289	3321
408	2294	3315
409	2299	3308
410	2304	3302
411	2309	3295
412	2314	3289
413	2319	3282
414	2324	3276
415	2329	3270
416	2334	3263
417	2339	3257
418	2344	3250
419	2349	3244
420	2354	3237
421	2359	3231
422	2364	3224
423	2371	3221
424	2377	3216
425	2383	3211
426	2388	3205
427	2395	3200
428	2400	3194
429	2405	3188
430	2410	3182
431	2415	3176
432	2420	3169
433	2425	3163
434	2431	3157
435	2435	3151
436	2441	3145
437	2446	3138
438	2451	3132
439	2456	3126
440	2461	3120
441	2466	3113
442	2471	3107
443	2476	3101
444	2481	3095
445	2486	3088
446	2491	3082
447	2496	3075
448	2501	3069
449	2506	3063
450	2511	3056
451	2516	3050
452	2521	3044
453	2526	3037
454	2531	3031
455	2536	3025
456	2542	3021
457	2547	3015
458	2554	3010
459	2559	3005
460	2564	2998
461	2571	2994
462	2578	2990
463	2583	2984
464	2590	2980
465	2595	2974
466	2600	2968
467	2605	2962
468	2610	2955
469	2615	2949
470	2620	2943
471	2625	2937
472	2630	2931
473	2636	2925
474	2640	2918
475	2645	2912
476	2651	2907
477	2656	2900
478	2661	2894
479	2666	2888
480	2671	2882
481	2676	2876
482	2681	2870
483	2686	2864
484	2691	2858
485	2696	2852
486	2701	2846
487	2706	2839
488	2711	2833
489	2716	2827
490	2722	2822
491	2727	2816
492	2732	2809
493	2737	2803
494	2742	2797
495	2747	2791
496	2752	2785
497	2757	2779
498	2762	2773
499	2768	2768
500	2775	2764
501	2782	2760
502	2788	2755
503	2794	2749
504	2799	2743
505	2804	2737
506	2809	2731
507	2814	2725
508	2819	2719
509	2824	2713
510	2829	2707
511	2834	2701
512	2839	2695
513	2844	2689
514	2849	2683
515	2854	2677
516	2859	2671
517	2864	2665
518	2869	2659
519	2874	2653
520	2879	2647
521	2884	2641
522	2889	2634
523	2894	2629
524	2899	2623
525	2904	2617
526	2909	2610
527	2913	2604
528	2918	2598
529	2923	2592
530	2928	2586
531	2933	2580
532	2938	2574
533	2943	2568
534	2948	2562
535	2953	2556
536	2958	2550
537	2965	2546
538	2975	2544
539	2982	2540
540	2987	2535
541	2994	2530
542	2999	2524
543	3004	2518
544	3009	2512
545	3014	2506
546	3019	2500
547	3024	2494
548	3029	2488
549	3034	2482
550	3039	2476
551	3044	2470
552	3049	2464
553	3057	2461
554	3062	2455
555	3067	2449
556	3074	2444
557	3079	2438
558	3083	2432
559	3088	2426
560	3093	2420
561	3098	2414
562	3103	2408
563	3108	2402
564	3113	2397
565	3118	2391
566	3123	2385
567	3128	2379
568	3133	2373
569	3138	2367
570	3143	2361
571	3148	2355
572	3153	2349
573	3158	2344
574	3165	2339
575	3171	2334
576	3177	2329
577	3186	2326
578	3191	2320
579	3196	2314
580	3201	2308
581	3206	2303
582	3211	2297
583	3216	2291
584	3221	2285
585	3226	2279
586	3231	2273
587	3236	2267
588	3241	2261
589	3246	2256
590	3251	2250
591	3256	2244
592	3261	2238
593	3266	2232
594	3271	2226
595	3276	2220
596	3281	2215
597	3286	2209
598	3291	2203
599	3296	2197
600	3301	2191
601	3306	2185
602	3311	2180
603	3316	2174
604	3321	2168
605	3326	2162
606	3331	2156
607	3336	2150
608	3341	2145
609	3346	2139
610	3350	2133
611	3355	2127
612	3361	2122
613	3368	2117
614	3375	2112
615	3381	2108
616	3386	2102
617	3392	2096
618	3397	2091
619	3402	2085
620	3407	2079
621	3412	2073
622	3417	2068
623	3422	2062
624	3427	2056
625	3432	2050
626	3437	2044
627	3442	2038
628	3446	2033
629	3451	2027
630	3456	2021
631	3461	2015
632	3466	2009
633	3471	2004
634	3476	1998
635	3481	1992
636	3486	1986
637	3491	1981
638	3496	1975
639	3501	1969
640	3506	1963
641	3511	1958
642	3516	1952
643	3521	1946
644	3526	1940
645	3531	1935
646	3536	1929
647	3541	1923
648	3546	1918
649	3551	1912
650	3557	1907
651	3564	1902
652	3570	1897
653	3577	1892
654	3582	1886
655	3589	1882
656	3595	1877
657	3600	1871
658	3605	1865
659	3610	1860
660	3615	1854
661	3620	1848
662	3625	1842
663	3630	1837
664	3635	1831
665	3640	1825
666	3645	1819
667	3650	1814
668	3655	1808
669	3660	1802
670	3665	1797
671	3670	1791
672	3675	1785
673	3680	1779
674	3685	1774
675	3690	1768
676	3695	1762
677	3700	1757
678	3705	1751
679	3709	1745
680	3715	1740
681	3720	1734
682	3725	1728
683	3730	1723
684	3735	1717
685	3739	1711
686	3744	1706
687	3749	1700
688	3756	1695
689	3762	1690
690	3769	1685
691	3773	1679
692	3779	1674
693	3785	1669
694	3790	1663
695	3795	1657
696	3800	1652
697	3805	1646
698	3810	1640
699	3815	1635
700	3820	1629
701	3825	1623
702	3830	1618
703	3835	1612
704	3840	1606
705	3845	1601
706	3850	1595
707	3855	1589
708	3860	1584
709	3865	1578
710	3870	1573
711	3875	1567
712	3880	1561
713	3885	1556
714	3889	1550
715	3895	1544
716	3899	1539
717	3904	1533
718	3910	1528
719	3914	1522
720	3919	1516
721	3924	1511
722	3930	1505
723	3937	1500
724	3942	1495
725	3947	1489
726	3953	1484
727	3959	1479
728	3966	1474
729	3972	1469
730	3978	1464
731	3983	1458
732	3988	1452
733	3993	1447
734	3998	1441
735	4003	1436
736	4008	1430
737	4013	1424
738	4018	1419
739	4023	1413
740	4028	1408
741	4033	1402
742	4038	1397
743	4043	1391
744	4048	1385
745	4053	1380
746	4058	1374
747	4063	1368
748	4068	1363
749	4073	1357
750	4078	1352
751	4083	1346
752	4090	1341
753	4095	1336
754	4101	1330
755	4107	1325
756	4111	1319
757	4117	1314
758	4122	1308
759	4127	1303
760	4132	1297
761	4137	1292
762	4142	1286
763	4146	1280
764	4153	1275
765	4160	1270
766	4167	1265
767	4172	1260
768	4177	1254
769	4183	1249
770	4188	1243
771	4192	1238
772	4197	1232
773	4202	1227
774	4208	1221
775	4215	1216
776	4220	1211
777	4224	1205
778	4230	1200
779	4234	1194
780	4239	1188
781	4244	1183
782	4249	1177
783	4254	1172
784	4259	1166
785	4264	1160
786	4269	1155
787	4274	1149
788	4279	1144
789	4284	1138
790	4289	1133
791	4294	1127
792	4298	1122
793	4303	1116
794	4308	1111
795	4313	1105
796	4318	1099
797	4323	1094
798	4328	1088
799	4333	1083
800	4338	1077
801	4343	1072
802	4351	1067
803	4358	1062
804	4365	1057
805	4372	1052
806	4379	1047
807	4386	1042
808	4391	1036
809	4396	1031
810	4400	1025
811	4405	1020
812	4410	1014
813	4415	1009
814	4420	1003
815	4425	997
816	4430	992
817	4435	986
818	4440	981
819	4445	975
820	4449	970
821	4455	964
822	4460	959
823	4464	953
824	4469	948
825	4475	942
826	4480	937
827	4485	931
828	4490	926
829	4495	920
830	4500	915
831	4505	909
832	4511	904
833	4516	898
834	4521	893
835	4525	887
836	4530	882
837	4535	876
838	4540	871
839	4545	865
840	4552	860
841	4559	855
842	4565	850
843	4572	845
844	4577	839
845	4581	834
846	4587	828
847	4592	823
848	4596	817
849	4606	812
850	4611	807
851	4616	801
852	4621	796
853	4626	790
854	4631	785
855	4636	780
856	4641	774
857	4646	768
858	4651	763
859	4656	758
860	4661	752
861	4666	747
862	4671	741
863	4676	736
864	4681	730
865	4686	725
866	4690	719
867	4696	714
868	4701	708
869	4705	703
870	4710	697
871	4715	692
872	4720	686
873	4725	681
874	4730	675
875	4735	670
876	4740	664
877	4745	659
878	4752	654
879	4759	648
880	4765	643
881	4771	638
882	4776	632
883	4781	627
884	4786	621
885	4791	616
886	4795	610
887	4800	605
888	4805	600
889	4810	594
890	4815	589
891	4820	583
892	4825	578
893	4830	572
894	4845	568
895	4856	563
896	4863	558
897	4870	553
898	4876	547
899	4882	542
900	4887	536
901	4892	531
902	4899	526
903	4905	520
904	4910	515
905	4915	509
906	4919	504
907	4924	498
908	4929	493
909	4934	488
910	4939	482
911	4944	477
912	4951	471
913	4957	466
914	4964	461
915	4969	455
916	4975	450
917	4980	444
918	4986	439
919	4991	434
920	4996	428
921	5001	423
922	5006	417
923	5011	412
924	5016	406
925	5021	401
926	5025	395
927	5030	390
928	5035	384
929	5040	379
930	5046	373
931	5051	368
932	5056	363
933	5061	357
934	5066	352
935	5071	346
936	5076	341
937	5081	335
938	5086	330
939	5091	324
940	5096	319
941	5101	314
942	5106	308
943	5114	303
944	5121	298
945	5126	292
946	5131	287
947	5136	281
948	5141	276
949	5147	270
950	5154	265
951	5160	260
952	5166	254
953	5171	249
954	5176	243
955	5181	238
956	5186	233
957	5191	227
958	5196	222
959	5201	216
960	5206	211
961	5211	205
962	5216	200
963	5221	194
964	5226	189
965	5231	184
966	5235	178
967	5240	173
968	5246	167
969	5250	162
970	5255	156
971	5261	151
972	5265	146
973	5270	140
974	5275	135
975	5280	129
976	5285	124
977	5290	119
978	5295	113
979	5300	108
980	5305	102
981	5310	97
982	5315	91
983	5320	86
984	5325	81
985	5330	75
986	5335	70
987	5339	64
988	5347	59
989	5353	54
990	5361	48
991	5366	43
992	5371	37
993	5376	32
994	5381	27
995	5385	21
996	5390	16
997	5395	10
998	5400	5
999	5406	0
