Loan_ID,Interest_Rate,Surge_Pricing_Type
10164310,1,2
10164311,1,1
10164312,1,3
10164313,1,3
10164314,1,2
10164315,1,3
10164316,1,3
10164317,1,3
10164318,1,3
10164319,1,3
10164320,1,3
10164321,1,2
10164322,1,3
10164323,1,2
10164324,1,3
10164325,1,2
10164326,1,2
10164327,1,3
10164328,1,3
10164329,1,3
10164330,1,2
10164331,1,2
10164332,1,3
10164333,1,3
10164334,1,2
10164335,1,3
10164336,1,3
10164337,1,2
10164338,1,3
10164339,1,2
10164340,1,2
10164341,1,2
10164342,1,2
10164343,1,2
10164344,1,3
10164345,1,3
10164346,1,2
10164347,1,3
10164348,1,2
10164349,1,2
10164350,1,2
10164351,1,3
10164352,1,2
10164353,1,2
10164354,1,3
10164355,1,3
10164356,1,3
10164357,1,3
10164358,1,3
10164359,1,2
10164360,1,2
10164361,1,2
10164362,1,3
10164363,1,2
10164364,1,2
10164365,1,2
10164366,1,2
10164367,1,2
10164368,1,1
10164369,1,2
10164370,1,2
10164371,1,2
10164372,1,3
10164373,1,3
10164374,1,3
10164375,1,2
10164376,1,2
10164377,1,2
10164378,1,2
10164379,1,2
10164380,1,3
10164381,1,2
10164382,1,3
10164383,1,2
10164384,1,3
10164385,1,2
10164386,1,2
10164387,1,3
10164388,1,3
10164389,1,2
10164390,1,3
10164391,1,2
10164392,1,2
10164393,1,3
10164394,1,3
10164395,1,2
10164396,1,2
10164397,1,2
10164398,1,2
10164399,1,3
10164400,1,3
10164401,1,3
10164402,1,3
10164403,1,2
10164404,1,2
10164405,1,3
10164406,1,3
10164407,1,2
10164408,1,2
10164409,1,3
10164410,1,2
10164411,1,3
10164412,1,2
10164413,1,3
10164414,1,2
10164415,1,3
10164416,1,3
10164417,1,3
10164418,1,2
10164419,1,3
10164420,1,3
10164421,1,2
10164422,1,2
10164423,1,3
10164424,1,2
10164425,1,2
10164426,1,3
10164427,1,3
10164428,1,2
10164429,1,3
10164430,1,3
10164431,1,3
10164432,1,3
10164433,1,2
10164434,1,3
10164435,1,2
10164436,1,3
10164437,1,2
10164438,1,3
10164439,1,2
10164440,1,3
10164441,1,3
10164442,1,2
10164443,1,3
10164444,1,3
10164445,1,2
10164446,1,2
10164447,1,2
10164448,1,2
10164449,1,2
10164450,1,2
10164451,1,2
10164452,1,3
10164453,1,3
10164454,1,2
10164455,1,2
10164456,1,2
10164457,1,2
10164458,1,2
10164459,1,2
10164460,1,3
10164461,1,3
10164462,1,3
10164463,1,2
10164464,1,2
10164465,1,3
10164466,1,3
10164467,1,2
10164468,1,2
10164469,1,3
10164470,1,2
10164471,1,3
10164472,1,3
10164473,1,2
10164474,1,2
10164475,1,2
10164476,1,2
10164477,1,3
10164478,1,3
10164479,1,2
10164480,1,2
10164481,1,2
10164482,1,3
10164483,1,2
10164484,1,2
10164485,1,3
10164486,1,2
10164487,1,3
10164488,1,2
10164489,1,2
10164490,1,3
10164491,1,3
10164492,1,3
10164493,1,3
10164494,1,3
10164495,1,3
10164496,1,2
10164497,1,3
10164498,1,3
10164499,1,2
10164500,1,2
10164501,1,2
10164502,1,2
10164503,1,2
10164504,1,3
10164505,1,2
10164506,1,3
10164507,1,3
10164508,1,3
10164509,1,3
10164510,1,3
10164511,1,3
10164512,1,3
10164513,1,1
10164514,1,1
10164515,1,3
10164516,1,3
10164517,1,2
10164518,1,2
10164519,1,2
10164520,1,2
10164521,1,3
10164522,1,2
10164523,1,2
10164524,1,2
