iter	MultiClass
0	1.087521236
1	1.078088875
2	1.069612106
3	1.061997718
4	1.055327084
5	1.049559147
6	1.044378954
7	1.039590119
8	1.035249957
9	1.031330053
10	1.027708031
11	1.024492046
12	1.021218159
13	1.018537648
14	1.015864541
15	1.013424985
16	1.010958606
17	1.008758459
18	1.006733618
19	1.004912226
20	1.002980133
21	1.001258988
22	0.999108674
23	0.9973632286
24	0.9957493802
25	0.994374909
26	0.993104288
27	0.9917569159
28	0.990408663
29	0.9892402478
30	0.9881811098
31	0.9869948032
32	0.9855429221
33	0.9844750517
34	0.9834155552
35	0.9824649322
36	0.981164881
37	0.9803071189
38	0.9793926334
39	0.9785065684
40	0.9775692061
41	0.9767640694
42	0.9760034008
43	0.9753046873
44	0.9745591611
45	0.9739301951
46	0.9731672601
47	0.972368806
48	0.9716145468
49	0.9709376252
50	0.9703405409
51	0.9696808011
52	0.9692038618
53	0.9686222085
54	0.9680759344
55	0.9674123881
56	0.9668100434
57	0.966190038
58	0.9657506608
59	0.9652979965
60	0.9647679019
61	0.9642486045
62	0.9638662117
63	0.9633472491
64	0.9628967314
65	0.962374854
66	0.9618694411
67	0.9614183178
68	0.9608931374
69	0.9604310405
70	0.9600250303
71	0.9596588161
72	0.9592760122
73	0.95888912
74	0.9585639423
75	0.9582818509
76	0.9579048624
77	0.9574557828
78	0.9570820011
79	0.9567159759
80	0.9563677947
81	0.9559628839
82	0.9556494551
83	0.9552347739
84	0.9549663437
85	0.9546255151
86	0.9543575544
87	0.954006788
88	0.9536675687
89	0.9534526466
90	0.9532081949
91	0.952996872
92	0.9527437372
93	0.9524832504
94	0.9521516656
95	0.9519172353
96	0.9516307852
97	0.951414388
98	0.9511749977
99	0.9509417997
100	0.950739845
101	0.9504869403
102	0.9502920037
103	0.950058809
104	0.9498296739
105	0.9495979135
106	0.9494300819
107	0.9492217357
108	0.949028841
109	0.9488959179
110	0.9486856178
111	0.948425187
112	0.9482131868
113	0.9480023223
114	0.9477972966
115	0.9475833545
116	0.9473962429
117	0.9472514412
118	0.9471034614
119	0.9469679564
120	0.9468148504
121	0.9466370745
122	0.9464223881
123	0.9462898468
124	0.9461275732
125	0.9459431414
126	0.9457990652
127	0.9456654142
128	0.9454888043
129	0.9453529987
130	0.9451656567
131	0.9449792146
132	0.9448070625
133	0.9446869754
134	0.9445435402
135	0.9443697416
136	0.9442029125
137	0.9440657303
138	0.943948225
139	0.9438094629
140	0.9436684651
141	0.9434735596
142	0.9433759819
143	0.9432546684
144	0.9431299824
145	0.9430020088
146	0.9428670814
147	0.9427424366
148	0.9426141334
149	0.9425177061
150	0.9423991497
151	0.9422989
152	0.942172107
153	0.9420772373
154	0.9418906174
155	0.9417709607
156	0.9416865842
157	0.9416071591
158	0.9415096609
159	0.9413664922
160	0.9412523487
161	0.9411189131
162	0.9410394357
163	0.940910568
164	0.9407986418
165	0.9406237358
166	0.940544482
167	0.9403809672
168	0.9402551692
169	0.9401526221
170	0.9400743873
171	0.9399711672
172	0.9398818126
173	0.9397095226
174	0.939618514
175	0.9395172151
176	0.9394023421
177	0.9392745399
178	0.9391649368
179	0.9390910559
180	0.9389975088
181	0.9388750479
182	0.9387888817
183	0.9386625496
184	0.9385737753
185	0.9384973203
186	0.9383709359
187	0.938281362
188	0.938209185
189	0.9381321335
190	0.9380609394
191	0.9379024981
192	0.9377924491
193	0.9376709463
194	0.9375761865
195	0.9374623731
196	0.9372968845
197	0.937234212
198	0.9371713943
199	0.9370820551
