iter	Passed	Remaining
0	79	15805
1	158	15732
2	256	16817
3	388	19057
4	556	21703
5	815	26364
6	1075	29648
7	1315	31580
8	1470	31210
9	1611	30615
10	1724	29630
11	1855	29068
12	1966	28284
13	2049	27232
14	2145	26465
15	2266	26060
16	2346	25258
17	2449	24765
18	2529	24096
19	2637	23738
20	2721	23194
21	2801	22664
22	2876	22138
23	2979	21850
24	3126	21888
25	3240	21686
26	3348	21457
27	3447	21177
28	3546	20909
29	3686	20891
30	3785	20637
31	3855	20242
32	3940	19943
33	4088	19961
34	4241	19993
35	4319	19678
36	4400	19387
37	4531	19318
38	4677	19309
39	4803	19212
40	4906	19029
41	4993	18784
42	5117	18683
43	5257	18641
44	5396	18588
45	5484	18360
46	5567	18124
47	5677	17977
48	5753	17729
49	5830	17491
50	5922	17302
51	6005	17092
52	6079	16861
53	6175	16695
54	6266	16521
55	6346	16319
56	6443	16166
57	6520	15962
58	6595	15762
59	6685	15598
60	6778	15445
61	6842	15230
62	6922	15053
63	7011	14898
64	7080	14704
65	7183	14584
66	7254	14400
67	7358	14283
68	7466	14175
69	7560	14041
70	7688	13969
71	7866	13984
72	7991	13903
73	8073	13746
74	8156	13594
75	8247	13456
76	8333	13311
77	8415	13163
78	8497	13015
79	8583	12875
80	8669	12736
81	8767	12617
82	8845	12469
83	8920	12319
84	9029	12216
85	9116	12084
86	9194	11941
87	9281	11813
88	9370	11686
89	9491	11600
90	9625	11528
91	9720	11411
92	9815	11293
93	9897	11160
94	10008	11062
95	10219	11071
96	10380	11022
97	10483	10911
98	10582	10796
99	10688	10688
100	10789	10576
101	10888	10461
102	11039	10396
103	11124	10268
104	11205	10138
105	11286	10008
106	11379	9890
107	11450	9753
108	11546	9639
109	11657	9537
110	11730	9405
111	11830	9295
112	11903	9164
113	11978	9036
114	12089	8935
115	12164	8809
116	12243	8685
117	12331	8569
118	12409	8447
119	12485	8323
120	12568	8205
121	12645	8084
122	12721	7963
123	12825	7860
124	12916	7750
125	13012	7642
126	13117	7539
127	13230	7442
128	13305	7323
129	13396	7213
130	13468	7094
131	13541	6976
132	13642	6872
133	13722	6758
134	13799	6644
135	13881	6532
136	13968	6423
137	14054	6314
138	14145	6207
139	14226	6097
140	14300	5984
141	14390	5877
142	14471	5768
143	14550	5658
144	14619	5545
145	14700	5437
146	14766	5323
147	14840	5214
148	14921	5107
149	14978	4992
150	15046	4882
151	15144	4782
152	15214	4673
153	15307	4572
154	15426	4478
155	15605	4401
156	15680	4294
157	15761	4189
158	15822	4079
159	15897	3974
160	15961	3866
161	16044	3763
162	16107	3656
163	16187	3553
164	16247	3446
165	16330	3344
166	16390	3238
167	16458	3135
168	16534	3032
169	16601	2929
170	16665	2826
171	16740	2725
172	16821	2625
173	16896	2524
174	16960	2422
175	17036	2323
176	17116	2224
177	17198	2125
178	17262	2025
179	17369	1929
180	17488	1835
181	17639	1744
182	17718	1646
183	17796	1547
184	17870	1448
185	17953	1351
186	18031	1253
187	18156	1158
188	18228	1060
189	18322	964
190	18476	870
191	18695	778
192	18833	683
193	19001	587
194	19086	489
195	19165	391
196	19312	294
197	19463	196
198	19588	98
199	19674	0
