iter	Passed	Remaining
0	8	8583
1	28	14438
2	43	14620
3	48	12169
4	56	11206
5	62	10384
6	67	9511
7	76	9514
8	81	8991
9	91	9016
10	97	8726
11	108	8969
12	113	8590
13	120	8512
14	129	8473
15	137	8472
16	144	8352
17	147	8045
18	155	8050
19	160	7886
20	166	7774
21	172	7665
22	175	7445
23	178	7247
24	181	7095
25	184	6924
26	187	6760
27	190	6612
28	193	6478
29	205	6644
30	212	6644
31	220	6660
32	226	6648
33	230	6536
34	235	6487
35	238	6376
36	245	6378
37	250	6352
38	255	6299
39	258	6206
40	273	6390
41	286	6524
42	291	6478
43	297	6468
44	306	6510
45	316	6554
46	322	6548
47	332	6602
48	337	6555
49	346	6581
50	355	6608
51	365	6654
52	370	6624
53	376	6587
54	383	6587
55	388	6549
56	396	6565
57	399	6491
58	402	6417
59	405	6355
60	408	6292
61	412	6247
62	417	6210
63	425	6225
64	429	6171
65	432	6113
66	434	6054
67	439	6027
68	444	5999
69	447	5947
70	450	5892
71	453	5842
72	456	5791
73	459	5744
74	461	5696
75	464	5648
76	467	5604
77	470	5559
78	473	5517
79	476	5475
80	478	5434
81	481	5394
82	484	5356
83	487	5318
84	489	5273
85	492	5235
86	495	5199
87	498	5163
88	501	5128
89	503	5095
90	506	5061
91	509	5028
92	512	4996
93	514	4963
94	517	4933
95	520	4902
96	523	4872
97	526	4843
98	529	4814
99	531	4786
100	534	4759
101	537	4732
102	540	4705
103	543	4678
104	545	4651
105	548	4626
106	551	4601
107	554	4577
108	556	4552
109	559	4529
110	562	4507
111	565	4485
112	568	4464
113	571	4442
114	574	4419
115	577	4399
116	580	4378
117	584	4370
118	588	4359
119	593	4350
120	598	4348
121	601	4328
122	604	4308
123	607	4288
124	609	4269
125	618	4292
126	626	4303
127	631	4304
128	636	4297
129	639	4278
130	642	4259
131	648	4267
132	653	4258
133	657	4251
134	663	4249
135	674	4288
136	681	4295
137	687	4294
138	700	4336
139	702	4317
140	705	4299
141	712	4306
142	720	4317
143	725	4309
144	736	4341
145	740	4332
146	746	4329
147	748	4311
148	751	4293
149	754	4276
150	758	4263
151	761	4246
152	764	4230
153	767	4213
154	770	4199
155	774	4192
156	779	4184
157	783	4177
158	788	4170
159	793	4166
160	797	4157
161	803	4155
162	809	4155
163	811	4139
164	814	4123
165	817	4108
166	822	4101
167	827	4099
168	830	4084
169	833	4069
170	836	4055
171	840	4045
172	843	4030
173	847	4022
174	852	4020
175	857	4013
176	860	3999
177	862	3984
178	865	3970
179	868	3956
180	871	3944
181	874	3930
182	877	3916
183	880	3903
184	882	3889
185	886	3878
186	889	3866
187	892	3852
188	894	3839
189	897	3826
190	900	3815
191	903	3803
192	906	3790
193	909	3777
194	912	3765
195	914	3753
196	918	3742
197	920	3729
198	923	3717
199	926	3705
200	929	3693
201	931	3681
202	934	3670
203	937	3658
204	940	3646
205	943	3635
206	945	3623
207	948	3612
208	951	3601
209	954	3590
210	957	3578
211	959	3567
212	962	3556
213	965	3547
214	968	3536
215	971	3525
216	982	3544
217	988	3545
218	992	3540
219	999	3545
220	1005	3542
221	1009	3539
222	1014	3534
223	1019	3533
224	1022	3522
225	1025	3511
226	1028	3502
227	1031	3492
228	1034	3481
229	1036	3471
230	1039	3460
231	1042	3450
232	1045	3440
233	1048	3431
234	1050	3420
235	1053	3411
236	1056	3401
237	1059	3392
238	1062	3383
239	1065	3373
240	1068	3363
241	1070	3354
242	1073	3344
243	1076	3335
244	1079	3326
245	1082	3316
246	1087	3315
247	1090	3306
248	1093	3297
249	1096	3288
250	1098	3279
251	1101	3270
252	1104	3260
253	1107	3252
254	1110	3243
255	1113	3235
256	1115	3226
257	1118	3217
258	1121	3208
259	1124	3199
260	1126	3190
261	1129	3182
262	1132	3173
263	1135	3165
264	1138	3157
265	1141	3149
266	1144	3141
267	1147	3133
268	1149	3124
269	1152	3116
270	1155	3108
271	1158	3100
272	1161	3092
273	1166	3089
274	1170	3086
275	1176	3085
276	1180	3081
277	1188	3085
278	1198	3096
279	1201	3088
280	1205	3085
281	1212	3085
282	1214	3077
283	1217	3069
284	1221	3065
285	1227	3063
286	1230	3055
287	1233	3048
288	1235	3040
289	1238	3032
290	1241	3024
291	1244	3016
292	1247	3009
293	1249	3001
294	1252	2993
295	1255	2986
296	1258	2979
297	1261	2971
298	1264	2963
299	1266	2955
300	1269	2948
301	1272	2941
302	1275	2933
303	1278	2926
304	1280	2918
305	1283	2911
306	1286	2904
307	1289	2896
308	1292	2889
309	1295	2882
310	1298	2875
311	1301	2870
312	1304	2863
313	1307	2856
314	1310	2849
315	1313	2842
316	1316	2835
317	1319	2828
318	1321	2821
319	1324	2815
320	1327	2808
321	1330	2801
322	1333	2794
323	1335	2787
324	1338	2780
325	1341	2773
326	1344	2766
327	1347	2760
328	1349	2753
329	1352	2746
330	1355	2740
331	1358	2733
332	1361	2726
333	1364	2720
334	1366	2713
335	1370	2709
336	1382	2718
337	1389	2721
338	1393	2717
339	1400	2719
340	1406	2718
341	1409	2711
342	1413	2708
343	1422	2713
344	1427	2709
345	1432	2706
346	1436	2702
347	1438	2695
348	1441	2689
349	1444	2683
350	1453	2688
351	1457	2683
352	1463	2683
353	1466	2676
354	1469	2670
355	1472	2663
356	1475	2657
357	1478	2651
358	1481	2644
359	1485	2640
360	1488	2635
361	1493	2631
362	1496	2625
363	1499	2619
364	1504	2616
365	1507	2611
366	1511	2606
367	1515	2602
368	1520	2600
369	1523	2594
370	1527	2589
371	1530	2583
372	1533	2577
373	1535	2570
374	1539	2565
375	1543	2561
376	1546	2556
377	1549	2550
378	1552	2544
379	1555	2538
380	1558	2532
381	1562	2527
382	1565	2522
383	1570	2518
384	1573	2513
385	1578	2510
386	1583	2508
387	1590	2509
388	1593	2503
389	1596	2497
390	1599	2491
391	1602	2485
392	1609	2485
393	1613	2481
394	1616	2476
395	1619	2470
396	1623	2465
397	1626	2459
398	1628	2453
399	1633	2450
400	1636	2444
401	1639	2439
402	1645	2437
403	1647	2431
404	1650	2425
405	1657	2424
406	1661	2421
407	1664	2415
408	1667	2409
409	1671	2405
410	1674	2399
411	1677	2394
412	1680	2388
