ID,Segmentation
458989,2
458994,3
458996,1
459000,2
459001,4
459003,3
459005,1
459008,3
459013,3
459014,4
459015,4
459016,4
459024,3
459026,4
459032,4
459033,2
459036,3
459039,3
459041,1
459045,3
459056,2
459057,2
459058,4
459059,2
459061,3
459064,2
459065,1
459074,1
459077,1
459079,3
459080,1
459083,3
459090,4
459091,3
459093,3
459100,1
459106,1
459114,3
459116,3
459117,3
459118,4
459119,3
459120,4
459121,3
459123,1
459130,1
459132,4
459136,3
459140,4
459143,2
459144,3
459145,1
459150,1
459160,3
459161,3
459162,3
459163,4
459167,1
459170,1
459171,3
459172,4
459175,3
459181,2
459182,3
459184,1
459185,1
459193,4
459194,3
459196,4
459208,3
459209,4
459210,3
459212,3
459213,1
459216,1
459220,3
459221,1
459222,3
459223,3
459224,3
459227,1
459229,3
459236,1
459237,4
459244,1
459247,3
459258,3
459263,4
459264,1
459266,4
459270,3
459284,3
459287,4
459288,1
459289,4
459290,3
459292,4
459293,4
459296,3
459300,2
459307,1
459310,4
459316,1
459318,1
459320,1
459322,4
459323,4
459338,1
459339,3
459344,3
459347,1
459349,3
459352,3
459353,3
459354,3
459355,1
459360,1
459361,1
459362,1
459363,4
459364,2
459369,2
459375,2
459377,3
459383,1
459384,3
459385,3
459386,2
459391,1
459394,4
459397,3
459398,1
459401,4
459403,3
459405,1
459407,1
459409,3
459410,3
459412,3
459413,3
459415,4
459418,2
459419,3
459420,2
459421,2
459422,1
459423,4
459424,1
459428,4
459432,1
459436,1
459439,3
459445,3
459447,1
459449,1
459451,2
459456,4
459458,4
459459,1
459461,2
459464,4
459466,3
459467,3
459469,1
459471,4
459480,2
459481,1
459482,1
459485,3
459496,1
459497,2
459499,1
459503,3
459505,1
459507,2
459509,4
459512,3
459515,1
459516,3
459518,3
459535,3
459536,1
459538,1
459541,3
459549,4
459555,1
459558,4
459564,1
459566,2
459567,3
459571,3
459576,1
459579,3
459581,4
459582,2
459583,1
459585,3
459587,1
459588,1
459591,3
459592,4
459594,2
459597,3
459603,1
459607,3
459608,1
459612,4
459616,4
459617,4
459618,3
459621,4
459625,1
459626,1
459632,1
459644,4
459652,4
459658,3
459664,4
459665,1
459672,2
459673,2
459678,4
459680,4
459686,1
459691,2
459692,3
459693,3
459699,3
459701,4
459710,1
459711,2
459712,4
459713,4
459715,4
459718,1
459725,2
459727,2
459740,4
459742,1
459745,1
459746,3
459747,3
459748,2
459755,1
459756,1
459760,2
459763,4
459767,4
459771,2
459779,2
459780,4
459785,1
459793,3
459795,4
459801,1
459804,2
459806,1
459808,2
459815,4
459816,1
459819,3
459821,2
459822,1
459825,4
459827,4
459832,1
459845,1
459851,4
459853,4
459856,2
459857,4
459861,1
459864,1
459866,1
459867,3
459869,4
459871,1
459885,1
459886,1
459887,2
459889,3
459897,2
459909,1
459910,1
459911,4
459914,4
459923,4
459925,2
459937,1
459943,4
459945,1
459946,3
459949,1
459953,1
459961,1
459962,1
459966,1
459968,4
459970,4
459973,1
459974,4
459975,1
459981,4
459986,1
459995,4
459996,4
459998,2
460004,3
460006,4
460014,4
460023,1
460027,1
460033,2
460036,1
460040,2
460045,1
460046,2
460050,1
460051,4
460052,1
460058,1
460059,4
460061,4
460066,4
460068,1
460073,2
460075,1
460079,4
460081,3
460088,3
460090,2
460093,1
460095,2
460097,1
460099,4
460101,1
460103,4
460105,1
460106,2
460107,3
460108,3
460109,3
460110,1
460112,3
460116,2
460118,2
460119,4
460122,4
460124,1
460126,2
460134,3
460135,1
460140,2
460141,4
460144,1
460146,3
460147,3
460157,1
460160,4
460162,4
460166,4
460167,4
460168,3
460171,3
460174,1
460175,4
460177,4
460179,4
460183,4
460185,4
460187,1
460189,4
460190,1
460192,1
460196,1
460206,2
460211,1
460212,1
460214,3
460222,3
460223,4
460227,4
460242,1
460243,1
460247,4
460248,1
460252,1
460263,1
460265,3
460270,4
460272,1
460275,1
460276,2
460281,1
460283,1
460284,1
460287,1
460289,3
460298,1
460303,1
460305,3
460306,1
460310,4
460315,4
460319,1
460322,1
460323,1
460324,1
460327,1
460333,4
460336,1
460340,1
460341,4
460344,3
460346,3
460348,1
460349,3
460354,1
460356,4
460358,4
460361,2
460362,1
460365,2
460369,2
460370,3
460371,1
460378,1
460379,4
460380,4
460381,4
460384,2
460387,4
460388,1
460389,3
460390,4
460392,1
460394,1
460397,1
460399,4
460401,1
460404,1
460405,1
460406,1
460408,1
460409,1
460415,1
460422,3
460431,1
460434,3
460437,1
460440,4
460443,1
460447,1
460449,4
460450,3
460453,1
460454,4
460457,1
460459,4
460460,1
460467,3
460470,4
460476,2
460477,4
460484,4
460485,4
460489,4
460492,4
460495,4
460504,2
460505,1
460507,4
460508,3
460518,3
460522,1
460541,3
460542,1
460545,2
460546,2
460547,3
460549,4
460550,3
460551,3
460555,3
460556,2
460558,2
460561,4
460563,4
460566,3
460571,4
460572,1
460574,4
460582,4
460583,4
460585,4
460586,4
460588,4
460597,4
460598,3
460605,3
460606,4
460612,4
460615,1
460618,1
460619,4
460621,1
460622,3
460626,2
460627,4
460633,3
460634,4
460637,4
460638,1
460639,2
460640,1
460645,4
460646,1
460653,4
460656,2
460658,3
460659,3
460660,4
460661,4
460668,1
460678,4
460686,1
460687,3
460691,4
460702,1
460703,3
460706,4
460708,1
460716,3
460719,2
460720,3
460722,2
460726,3
460727,2
460729,1
460733,4
460734,3
460738,4
460740,3
460743,3
460746,4
460763,4
460769,1
460780,1
460783,1
460785,4
460789,1
460794,2
460796,1
460802,3
460811,1
460813,1
460815,3
460822,1
460825,4
460828,4
460830,2
460831,4
460837,1
460838,4
460840,1
460844,1
460846,4
460847,4
460851,2
460855,1
460857,4
460859,1
460860,3
460861,4
460866,4
460870,4
460871,1
460872,2
460877,1
460878,2
460882,4
460888,1
460891,1
460897,4
460898,2
460899,4
460901,4
460902,4
460905,4
460906,3
460907,2
460923,3
460924,4
460928,3
460934,4
460935,1
460945,4
460953,1
460961,4
460962,3
460963,1
460968,2
460975,3
460976,4
460977,3
460979,1
460981,1
460984,3
460988,3
460989,4
460991,1
460993,3
460999,4
461000,2
461001,1
461015,3
461016,4
461022,1
461023,2
461024,1
461028,4
461029,1
461034,4
461037,3
461038,3
461041,1
461042,4
461043,1
461044,4
461049,2
461050,3
461053,2
461059,1
461060,3
461065,1
461071,2
461078,4
461082,4
461085,4
461093,3
461099,4
461111,2
461114,3
461116,2
461118,1
461119,4
461121,4
461124,4
461127,4
461128,4
461129,3
461131,3
461145,2
461152,4
461154,4
461158,1
461162,4
461163,1
461168,1
461169,4
461174,4
461177,2
461178,1
461179,1
461181,4
461183,4
461187,4
461197,4
461198,1
461201,1
461205,4
461211,1
461214,4
461215,1
461218,1
461220,4
461221,4
461225,4
461226,1
461230,4
461232,3
461233,1
461236,1
461237,4
461241,1
461242,1
461243,1
461248,4
461251,1
461252,2
461256,4
461257,3
461258,3
461262,4
461263,2
461265,4
461269,4
461274,3
461276,1
461277,1
461281,4
461286,4
461289,4
461292,1
461297,2
461299,3
461303,4
461308,4
461309,4
461313,3
461314,3
461319,2
461320,1
461322,3
461323,3
461324,1
461326,1
461335,2
461340,3
461346,1
461348,1
461350,4
461352,4
461356,4
461357,4
461363,4
461366,4
461370,4
461377,2
461378,1
461379,4
461383,3
461388,4
461397,4
461402,1
461408,1
461421,3
461423,4
461426,3
461428,4
461432,3
461437,3
461439,3
461441,3
461442,3
461454,3
461456,4
461457,1
461458,1
461462,1
461465,3
461466,1
461468,3
461469,1
461476,3
461479,3
461480,3
461482,1
461494,2
461501,3
461503,1
461510,1
461514,4
461516,3
461518,3
461521,3
461522,2
461525,1
461526,1
461530,1
461534,1
461540,4
461546,1
461548,1
461553,4
461556,3
461558,3
461564,3
461570,3
461574,3
461587,4
461593,3
461602,1
461604,2
461612,1
461615,4
461617,4
461619,3
461624,3
461626,3
461630,3
461637,1
461644,4
461653,3
461655,3
461658,3
461659,3
461661,3
461663,4
461668,3
461671,4
461674,3
461676,1
461679,4
461681,4
461683,3
461685,1
461686,1
461690,1
461694,4
461695,3
461698,3
461701,2
461705,4
461708,2
461709,4
461711,1
461716,3
461720,1
461722,4
461724,2
461725,1
461727,1
461737,3
461738,3
461744,3
461747,3
461749,4
461752,3
461756,3
461760,3
461769,4
461771,3
461775,1
461778,3
461780,1
461782,3
461784,2
461788,3
461791,4
461792,4
461800,1
461801,4
461802,4
461804,1
461807,4
461815,1
461816,1
461821,4
461822,3
461824,1
461832,4
461837,1
461845,3
461846,1
461848,4
461858,4
461859,1
461860,3
461862,1
461864,4
461872,3
461873,4
461874,3
461882,1
461892,1
461896,1
461898,3
461899,4
461901,4
461910,3
461913,4
461914,2
461921,1
461927,4
461928,1
461929,1
461930,1
461931,4
461936,2
461937,1
461941,2
461943,4
461962,3
461963,1
461965,4
461967,4
461968,1
461978,4
461985,4
461988,2
461989,3
461993,4
461994,1
461996,4
461999,4
462007,3
462011,1
462013,3
462015,3
462016,3
462017,4
462027,4
462029,4
462033,4
462038,4
462043,4
462044,1
462048,4
462051,4
462052,1
462053,1
462058,1
462060,3
462064,3
462068,3
462075,1
462078,1
462080,1
462081,4
462083,4
462084,1
462085,1
462088,3
462090,1
462091,4
462094,1
462096,1
462102,1
462103,1
462108,3
462109,1
462111,3
462114,4
462116,3
462118,4
462120,1
462128,3
462131,1
462134,1
462141,1
462149,1
462151,1
462163,3
462168,3
462171,1
462172,3
462174,3
462177,4
462179,1
462180,3
462186,4
462187,1
462188,1
462196,2
462197,1
462198,4
462200,2
462202,1
462203,2
462204,4
462205,4
462209,1
462210,2
462211,4
462214,1
462216,1
462218,2
462220,4
462222,4
462229,4
462231,4
462232,2
462234,2
462238,1
462240,2
462243,1
462246,1
462249,4
462256,3
462257,3
462260,1
462262,4
462274,3
462275,3
462278,4
462279,4
462280,4
462281,1
462284,3
462285,1
462286,2
462290,1
462291,1
462297,1
462300,3
462304,1
462306,2
462309,4
462310,3
462323,3
462336,1
462339,4
462340,2
462342,3
462345,3
462346,1
462349,3
462355,1
462356,4
462358,2
462365,3
462368,3
462370,3
462381,1
462382,3
462384,1
462386,1
462389,1
462395,3
462396,3
462397,3
462400,4
462401,2
462409,1
462411,4
462415,4
462420,4
462421,4
462423,2
462424,1
462428,3
462429,1
462445,4
462446,4
462447,4
462450,4
462451,4
462452,4
462454,4
462456,4
462457,4
462463,2
462472,4
462473,4
462485,1
462488,4
462491,4
462492,2
462496,2
462498,3
462503,3
462508,1
462512,1
462517,3
462518,4
462519,4
462521,4
462522,2
462524,2
462525,3
462526,3
462529,2
462531,1
462533,1
462538,3
462541,3
462542,3
462543,2
462545,4
462554,4
462561,3
462563,3
462566,1
462577,1
462578,3
462580,1
462584,1
462587,1
462589,4
462595,1
462596,4
462600,2
462607,1
462609,1
462611,2
462612,1
462613,1
462615,4
462617,4
462619,2
462625,4
462626,1
462632,1
462637,1
462643,3
462654,2
462658,3
462668,1
462669,3
462678,3
462680,3
462683,1
462685,4
462687,4
462692,1
462696,2
462697,2
462702,2
462704,3
462705,1
462716,4
462720,1
462722,4
462723,1
462727,1
462729,4
462731,3
462732,2
462735,1
462736,1
462738,1
462739,1
462743,4
462746,4
462747,4
462752,4
462755,4
462756,4
462761,4
462762,3
462767,4
462768,3
462776,3
462785,3
462788,2
462792,2
462799,4
462804,2
462807,1
462810,2
462814,1
462817,2
462819,3
462823,3
462824,2
462826,4
462827,4
462834,1
462838,2
462841,4
462845,3
462849,3
462850,4
462853,4
462854,4
462858,1
462861,1
462866,1
462868,2
462869,4
462871,2
462872,1
462874,3
462887,1
462890,1
462891,4
462894,3
462900,3
462903,3
462905,4
462914,1
462920,2
462923,2
462925,1
462927,4
462936,1
462941,4
462944,3
462951,1
462956,2
462958,4
462963,3
462966,3
462968,1
462971,2
462976,3
462981,4
462982,2
462983,3
462984,3
462986,4
462992,3
462993,2
462994,1
462998,2
463003,3
463012,1
463020,3
463023,1
463024,4
463028,4
463030,3
463034,1
463037,3
463039,2
463040,2
463044,3
463047,1
463051,1
463052,1
463058,1
463062,3
463069,4
463075,1
463080,4
463083,4
463085,1
463086,4
463088,3
463089,3
463090,1
463091,2
463094,3
463096,1
463099,1
463100,4
463102,4
463104,1
463106,2
463108,3
463118,3
463120,1
463129,1
463133,2
463138,4
463144,3
463145,1
463146,2
463148,3
463149,3
463150,4
463151,1
463154,1
463156,1
463157,1
463158,3
463163,4
463164,3
463165,3
463166,1
463170,2
463171,1
463173,4
463174,2
463175,1
463181,3
463187,2
463192,1
463195,1
463196,2
463199,2
463201,4
463203,4
463204,4
463209,1
463218,2
463219,1
463220,2
463221,4
463224,3
463240,1
463242,4
463244,1
463245,3
463248,1
463251,1
463256,4
463258,3
463260,1
463265,3
463266,3
463267,1
463269,3
463270,1
463273,3
463276,2
463277,1
463278,2
463280,3
463292,2
463302,3
463308,1
463316,1
463323,1
463324,4
463330,4
463332,2
463334,1
463335,4
463338,1
463340,4
463341,1
463348,2
463351,1
463356,4
463360,2
463367,1
463368,3
463372,1
463375,2
463376,3
463378,4
463379,4
463386,2
463387,1
463391,1
463395,4
463404,2
463406,4
463409,1
463411,3
463420,3
463423,2
463427,2
463428,2
463431,3
463437,3
463438,2
463443,3
463444,3
463447,2
463452,3
463460,3
463461,4
463462,1
463470,4
463472,4
463473,4
463475,2
463477,4
463483,2
463491,3
463493,3
463499,1
463500,3
463503,1
463508,1
463509,4
463512,4
463516,2
463527,4
463528,2
463529,4
463533,3
463537,1
463545,1
463548,4
463550,3
463553,4
463554,4
463557,4
463560,4
463561,1
463566,3
463572,3
463577,3
463586,4
463588,4
463598,1
463601,4
463603,4
463605,4
463606,4
463614,4
463615,3
463616,1
463619,2
463620,4
463623,4
463624,3
463628,1
463632,3
463638,1
463639,4
463640,4
463644,1
463652,1
463654,4
463655,1
463661,3
463663,1
463664,4
463665,3
463669,3
463670,1
463689,2
463699,2
463703,2
463704,4
463707,4
463713,4
463714,2
463716,4
463718,1
463722,3
463724,4
463726,4
463727,4
463728,1
463732,4
463734,2
463741,3
463745,3
463747,3
463748,4
463753,1
463756,2
463761,3
463764,3
463766,3
463767,3
463768,1
463774,3
463776,3
463782,1
463783,4
463784,4
463785,4
463786,3
463790,1
463792,4
463794,1
463799,1
463800,1
463804,1
463807,1
463811,3
463814,4
463816,3
463818,2
463819,1
463821,1
463825,3
463827,3
463828,2
463830,1
463834,3
463835,4
463842,3
463847,2
463856,3
463857,2
463859,3
463865,3
463877,2
463880,1
463884,4
463891,1
463892,4
463904,1
463917,4
463923,4
463924,1
463926,4
463931,3
463932,3
463941,4
463943,4
463946,4
463948,2
463951,2
463955,1
463958,4
463961,4
463963,1
463966,1
463978,3
463980,1
463981,1
463983,1
463986,1
463997,1
464000,4
464004,1
464007,1
464009,3
464010,4
464013,4
464016,3
464019,4
464021,4
464023,4
464030,4
464031,4
464032,4
464033,4
464039,4
464042,2
464046,4
464048,1
464049,1
464053,1
464054,3
464059,1
464063,1
464066,1
464067,1
464068,2
464071,3
464072,1
464076,2
464084,4
464087,4
464089,3
464096,4
464099,3
464103,3
464110,3
464112,4
464115,1
464118,4
464121,2
464123,1
464127,1
464132,4
464137,1
464139,4
464144,3
464152,3
464162,3
464167,3
464169,2
464172,3
464173,3
464175,4
464176,2
464179,3
464180,1
464182,3
464183,4
464185,3
464195,4
464200,4
464202,1
464204,3
464205,1
464206,1
464211,3
464212,3
464216,3
464217,4
464223,2
464226,3
464231,3
464232,1
464246,3
464254,3
464255,3
464257,3
464265,1
464269,4
464270,1
464271,3
464274,3
464276,1
464283,4
464286,3
464287,3
464289,1
464292,3
464297,4
464298,4
464308,3
464318,1
464320,2
464326,1
464332,2
464339,4
464344,2
464351,1
464364,3
464368,3
464370,3
464373,1
464378,3
464381,3
464382,3
464386,3
464387,1
464389,3
464392,3
464396,3
464412,1
464424,4
464425,4
464432,4
464433,4
464436,3
464437,3
464441,1
464451,3
464456,1
464468,1
464473,3
464474,1
464478,1
464481,3
464482,1
464483,3
464485,4
464487,4
464488,1
464494,3
464499,3
464501,4
464504,4
464506,4
464517,4
464522,1
464526,3
464528,3
464533,2
464536,3
464540,3
464544,3
464549,1
464550,1
464552,3
464553,1
464555,3
464560,4
464561,1
464566,3
464569,4
464570,3
464572,2
464576,4
464577,3
464580,4
464581,4
464586,1
464593,1
464594,1
464597,4
464601,1
464603,1
464606,3
464607,3
464608,3
464618,1
464620,3
464621,1
464637,1
464641,2
464652,1
464654,1
464664,2
464666,3
464670,2
464673,2
464674,2
464675,1
464677,1
464683,2
464684,4
464685,4
464688,1
464690,2
464691,4
464692,4
464693,1
464695,4
464696,1
464697,3
464699,4
464701,4
464704,3
464707,2
464711,3
464712,1
464722,1
464726,3
464728,2
464732,2
464737,1
464739,1
464746,2
464752,2
464755,3
464756,4
464758,1
464760,1
464765,1
464766,1
464769,1
464772,1
464774,1
464780,4
464790,1
464792,2
464794,1
464799,4
464802,4
464804,1
464806,1
464809,3
464812,3
464813,3
464817,4
464818,1
464825,4
464827,1
464828,4
464831,1
464832,1
464835,4
464836,1
464845,2
464849,3
464851,4
464852,1
464854,1
464857,4
464861,4
464864,4
464865,4
464868,1
464872,1
464873,3
464876,1
464879,3
464884,1
464885,4
464886,3
464902,1
464905,2
464907,3
464910,3
464911,3
464915,3
464916,3
464919,1
464920,4
464921,2
464925,2
464927,3
464932,1
464938,1
464939,4
464940,1
464944,2
464947,4
464957,1
464960,4
464961,1
464963,2
464972,2
464973,4
464981,3
464987,3
464990,2
464991,3
464995,2
465001,3
465005,3
465012,2
465014,1
465022,3
465023,3
465026,4
465032,3
465035,3
465038,2
465039,1
465040,2
465045,3
465056,3
465069,3
465075,3
465076,3
465079,1
465082,1
465087,4
465091,3
465092,3
465093,1
465095,3
465099,2
465100,3
465101,2
465105,2
465109,4
465111,3
465112,1
465113,3
465119,3
465120,1
465121,1
465122,3
465124,3
465128,1
465134,3
465136,3
465144,4
465147,4
465148,4
465150,4
465153,3
465155,1
465160,3
465164,4
465171,3
465172,3
465175,4
465176,3
465181,1
465182,1
465186,1
465187,1
465188,3
465189,3
465194,4
465196,1
465197,3
465201,3
465202,4
465203,4
465204,1
465213,3
465214,1
465216,3
465226,1
465228,3
465231,2
465236,1
465237,3
465242,4
465249,4
465254,4
465261,1
465264,1
465267,2
465274,4
465285,1
465288,1
465289,3
465290,3
465294,1
465295,3
465296,3
465303,3
465306,2
465310,4
465319,4
465326,1
465333,2
465335,2
465340,1
465342,3
465344,3
465345,1
465351,3
465352,3
465354,4
465357,3
465358,3
465359,1
465364,1
465366,1
465371,1
465372,1
465383,2
465384,3
465391,3
465393,3
465395,1
465399,4
465405,3
465408,4
465410,4
465417,3
465419,4
465423,3
465428,1
465433,1
465435,1
465437,3
465440,1
465441,2
465445,1
465458,3
465461,2
465463,4
465464,3
465467,1
465471,1
465472,1
465473,1
465477,4
465479,4
465482,4
465483,2
465484,2
465488,4
465489,1
465492,1
465496,1
465505,3
465507,1
465508,4
465510,2
465518,3
465520,1
465521,3
465522,1
465529,4
465538,2
465539,3
465541,3
465543,3
465547,2
465550,1
465551,3
465554,1
465555,1
465558,1
465568,3
465569,3
465571,3
465577,4
465584,2
465586,1
465587,1
465594,1
465598,4
465600,1
465601,3
465602,1
465603,2
465605,2
465611,4
465612,3
465616,1
465621,4
465625,4
465627,1
465629,3
465635,4
465638,2
465640,3
465644,4
465645,1
465649,2
465651,4
465653,2
465655,1
465656,1
465658,3
465663,1
465667,4
465668,4
465669,1
465670,4
465675,4
465680,2
465685,4
465688,3
465689,4
465695,4
465697,1
465703,1
465704,1
465705,3
465706,3
465721,3
465722,1
465725,4
465727,4
465728,4
465733,3
465734,1
465736,1
465737,2
465740,1
465742,2
465751,2
465753,2
465766,1
465768,1
465769,4
465772,2
465775,1
465776,1
465777,1
465784,4
465788,4
465793,4
465797,3
465804,1
465809,4
465811,4
465813,4
465818,4
465823,2
465826,1
465828,4
465829,3
465830,1
465831,2
465837,4
465841,1
465848,1
465849,1
465851,1
465853,3
465857,1
465860,2
465863,4
465865,1
465866,1
465867,3
465873,4
465875,1
465884,3
465893,3
465894,4
465907,1
465916,4
465923,1
465925,4
465927,1
465930,1
465931,1
465935,4
465937,1
465941,1
465948,3
465953,1
465957,1
465960,1
465961,1
465963,1
465965,1
465972,1
465974,3
465975,4
465976,4
465979,1
465982,3
465983,1
465996,4
465997,4
466001,2
466007,1
466017,2
466019,2
466020,1
466022,1
466023,2
466024,1
466032,1
466042,1
466043,3
466046,1
466058,1
466069,3
466071,2
466078,1
466079,1
466082,2
466083,4
466084,1
466085,4
466088,4
466090,1
466092,3
466099,2
466103,1
466109,3
466111,1
466114,3
466115,1
466118,1
466124,1
466128,4
466130,4
466132,4
466136,1
466138,2
466140,1
466141,2
466142,3
466143,1
466146,1
466148,2
466149,4
466153,2
466154,3
466156,3
466157,1
466161,2
466162,2
466166,3
466172,3
466178,3
466180,1
466185,3
466200,3
466201,3
466206,3
466207,3
466208,2
466210,3
466211,1
466213,4
466218,1
466223,1
466225,4
466226,3
466233,2
466235,3
466236,2
466238,4
466246,4
466247,2
466253,4
466257,4
466264,1
466268,3
466271,4
466274,1
466276,4
466278,4
466282,1
466285,4
466286,3
466287,3
466289,4
466290,4
466292,1
466297,4
466300,2
466301,3
466306,4
466313,2
466315,2
466317,1
466318,4
466319,1
466320,1
466321,1
466324,4
466326,4
466335,4
466337,1
466341,3
466347,1
466352,2
466355,4
466367,1
466370,2
466372,3
466373,3
466376,1
466377,3
466380,1
466381,3
466382,3
466387,3
466389,3
466391,3
466392,3
466393,1
466395,3
466397,4
466400,2
466401,2
466402,3
466404,1
466406,1
466408,1
466411,3
466414,1
466418,1
466419,3
466422,1
466427,1
466429,1
466443,2
466450,1
466455,2
466456,1
466457,2
466463,1
466464,3
466466,1
466467,3
466468,4
466474,4
466478,3
466483,4
466486,2
466488,3
466490,1
466493,2
466500,3
466501,3
466502,4
466516,4
466517,4
466526,4
466527,1
466530,4
466533,1
466535,4
466536,4
466538,3
466541,4
466543,4
466545,4
466550,1
466552,1
466553,1
466556,4
466562,4
466564,4
466565,2
466576,4
466586,4
466588,4
466596,3
466603,3
466606,2
466613,4
466623,3
466628,4
466631,1
466634,4
466635,3
466644,1
466650,4
466652,3
466655,1
466656,3
466658,4
466662,4
466665,3
466666,2
466671,1
466686,4
466687,4
466688,4
466689,4
466696,3
466704,3
466705,1
466707,2
466713,3
466718,3
466720,1
466721,3
466725,1
466731,2
466732,3
466733,4
466735,4
466746,3
466749,4
466750,1
466751,1
466752,1
466753,3
466754,3
466759,4
466760,3
466765,2
466769,1
466775,2
466776,1
466777,3
466778,1
466788,4
466790,3
466791,1
466792,1
466795,3
466799,4
466802,2
466804,2
466807,2
466808,4
466810,4
466811,4
466813,1
466814,4
466815,4
466816,3
466818,2
466826,1
466832,3
466833,1
466846,4
466863,4
466867,4
466871,3
466874,3
466884,1
466886,4
466891,1
466905,1
466906,4
466908,1
466909,1
466910,1
466917,1
466918,3
466920,4
466923,4
466926,4
466927,4
466936,2
466938,1
466939,2
466951,3
466954,1
466955,1
466956,2
466961,3
466966,3
466967,1
466970,2
466971,4
466975,3
466990,3
466996,1
466998,1
466999,4
467000,1
467008,3
467009,4
467022,4
467023,2
467025,4
467044,1
467046,4
