ID,Segmentation
458989,0
458994,0
458996,3
459000,3
459001,3
459003,0
459005,0
459008,0
459013,2
459014,3
459015,3
459016,3
459024,0
459026,3
459032,0
459033,3
459036,0
459039,2
459041,0
459045,0
459056,0
459057,0
459058,0
459059,0
459061,2
459064,0
459065,0
459074,3
459077,0
459079,2
459080,0
459083,0
459090,0
459091,0
459093,2
459100,0
459106,0
459114,2
459116,2
459117,0
459118,0
459119,2
459120,3
459121,2
459123,0
459130,0
459132,3
459136,0
459140,3
459143,0
459144,2
459145,0
459150,3
459160,0
459161,2
459162,0
459163,0
459167,3
459170,3
459171,0
459172,0
459175,2
459181,0
459182,2
459184,0
459185,3
459193,0
459194,0
459196,3
459208,2
459209,3
459210,2
459212,2
459213,3
459216,3
459220,0
459221,0
459222,0
459223,0
459224,2
459227,3
459229,0
459236,3
459237,0
459244,0
459247,0
459258,0
459263,3
459264,3
459266,0
459270,0
459284,0
459287,0
459288,0
459289,0
459290,0
459292,0
459293,0
459296,0
459300,0
459307,0
459310,0
459316,3
459318,0
459320,0
459322,3
459323,3
459338,0
459339,2
459344,2
459347,0
459349,2
459352,0
459353,2
459354,2
459355,3
459360,3
459361,3
459362,3
459363,0
459364,3
459369,0
459375,0
459377,0
459383,0
459384,0
459385,2
459386,0
459391,3
459394,3
459397,2
459398,3
459401,3
459403,2
459405,3
459407,0
459409,0
459410,0
459412,0
459413,2
459415,0
459418,0
459419,0
459420,3
459421,0
459422,0
459423,3
459424,0
459428,3
459432,0
459436,3
459439,2
459445,0
459447,0
459449,0
459451,0
459456,3
459458,3
459459,0
459461,0
459464,0
459466,0
459467,2
459469,0
459471,3
459480,0
459481,3
459482,0
459485,2
459496,0
459497,3
459499,3
459503,0
459505,3
459507,0
459509,3
459512,0
459515,0
459516,2
459518,2
459535,2
459536,3
459538,3
459541,0
459549,3
459555,0
459558,0
459564,2
459566,2
459567,0
459571,0
459576,0
459579,2
459581,3
459582,0
459583,0
459585,2
459587,0
459588,0
459591,0
459592,3
459594,2
459597,2
459603,0
459607,0
459608,3
459612,3
459616,3
459617,0
459618,0
459621,3
459625,3
459626,0
459632,3
459644,3
459652,3
459658,0
459664,0
459665,0
459672,0
459673,3
459678,0
459680,2
459686,0
459691,0
459692,2
459693,0
459699,0
459701,0
459710,0
459711,0
459712,0
459713,0
459715,3
459718,0
459725,0
459727,0
459740,3
459742,0
459745,0
459746,2
459747,2
459748,3
459755,0
459756,0
459760,2
459763,0
459767,0
459771,0
459779,3
459780,3
459785,3
459793,0
459795,0
459801,3
459804,0
459806,0
459808,0
459815,0
459816,0
459819,0
459821,0
459822,3
459825,3
459827,3
459832,0
459845,3
459851,0
459853,3
459856,0
459857,0
459861,0
459864,0
459866,3
459867,0
459869,3
459871,0
459885,0
459886,0
459887,0
459889,0
459897,0
459909,0
459910,0
459911,3
459914,0
459923,3
459925,3
459937,0
459943,0
459945,0
459946,2
459949,3
459953,0
459961,0
459962,0
459966,0
459968,0
459970,0
459973,3
459974,0
459975,0
459981,0
459986,0
459995,3
459996,0
459998,0
460004,0
460006,0
460014,3
460023,0
460027,3
460033,0
460036,0
460040,3
460045,0
460046,2
460050,0
460051,0
460052,3
460058,0
460059,3
460061,3
460066,3
460068,0
460073,0
460075,3
460079,3
460081,2
460088,2
460090,0
460093,3
460095,3
460097,0
460099,0
460101,3
460103,0
460105,3
460106,0
460107,0
460108,0
460109,2
460110,0
460112,0
460116,0
460118,2
460119,0
460122,3
460124,0
460126,3
460134,0
460135,3
460140,2
460141,0
460144,0
460146,0
460147,0
460157,0
460160,0
460162,3
460166,3
460167,3
460168,0
460171,2
460174,2
460175,3
460177,0
460179,3
460183,3
460185,3
460187,0
460189,3
460190,3
460192,0
460196,3
460206,3
460211,0
460212,0
460214,0
460222,2
460223,3
460227,3
460242,0
460243,3
460247,3
460248,3
460252,0
460263,0
460265,0
460270,0
460272,3
460275,0
460276,2
460281,3
460283,0
460284,3
460287,0
460289,2
460298,3
460303,3
460305,0
460306,3
460310,3
460315,3
460319,0
460322,3
460323,3
460324,3
460327,0
460333,3
460336,3
460340,2
460341,3
460344,2
460346,2
460348,3
460349,2
460354,3
460356,3
460358,3
460361,3
460362,3
460365,3
460369,2
460370,2
460371,0
460378,3
460379,0
460380,0
460381,0
460384,3
460387,3
460388,2
460389,3
460390,0
460392,0
460394,3
460397,3
460399,3
460401,0
460404,0
460405,3
460406,0
460408,3
460409,2
460415,3
460422,0
460431,3
460434,0
460437,0
460440,3
460443,3
460447,0
460449,3
460450,0
460453,3
460454,0
460457,3
460459,3
460460,0
460467,2
460470,0
460476,0
460477,0
460484,3
460485,3
460489,3
460492,3
460495,3
460504,0
460505,0
460507,0
460508,2
460518,0
460522,0
460541,0
460542,3
460545,0
460546,3
460547,0
460549,0
460550,2
460551,0
460555,0
460556,0
460558,0
460561,3
460563,3
460566,0
460571,0
460572,3
460574,0
460582,3
460583,3
460585,0
460586,3
460588,3
460597,3
460598,0
460605,0
460606,0
460612,0
460615,3
460618,0
460619,0
460621,0
460622,2
460626,0
460627,3
460633,2
460634,0
460637,3
460638,3
460639,0
460640,2
460645,3
460646,0
460653,3
460656,0
460658,0
460659,0
460660,0
460661,3
460668,3
460678,3
460686,3
460687,0
460691,3
460702,3
460703,0
460706,3
460708,0
460716,0
460719,3
460720,2
460722,0
460726,2
460727,0
460729,0
460733,0
460734,0
460738,3
460740,2
460743,0
460746,3
460763,0
460769,0
460780,3
460783,0
460785,0
460789,0
460794,3
460796,0
460802,0
460811,0
460813,3
460815,0
460822,0
460825,0
460828,3
460830,0
460831,3
460837,3
460838,0
460840,0
460844,3
460846,3
460847,0
460851,0
460855,0
460857,3
460859,0
460860,0
460861,3
460866,0
460870,0
460871,3
460872,0
460877,0
460878,0
460882,3
460888,0
460891,0
460897,3
460898,0
460899,0
460901,0
460902,0
460905,0
460906,0
460907,0
460923,0
460924,0
460928,0
460934,3
460935,0
460945,0
460953,0
460961,3
460962,0
460963,0
460968,0
460975,0
460976,0
460977,0
460979,1
460981,0
460984,0
460988,0
460989,3
460991,3
