ID,Segmentation
458989,3
458994,3
458996,1
459000,2
459001,4
459003,3
459005,1
459008,3
459013,3
459014,4
459015,4
459016,4
459024,3
459026,4
459032,4
459033,3
459036,3
459039,3
459041,1
459045,3
459056,2
459057,2
459058,4
459059,2
459061,3
459064,2
459065,1
459074,4
459077,2
459079,3
459080,4
459083,3
459090,4
459091,3
459093,3
459100,4
459106,1
459114,3
459116,3
459117,3
459118,4
459119,3
459120,4
459121,3
459123,2
459130,2
459132,4
459136,3
459140,4
459143,2
459144,3
459145,4
459150,4
459160,3
459161,3
459162,3
459163,4
459167,4
459170,4
459171,3
459172,4
459175,3
459181,2
459182,3
459184,1
459185,4
459193,4
459194,3
459196,4
459208,3
459209,4
459210,3
459212,3
459213,4
459216,4
459220,3
459221,4
459222,3
459223,3
459224,3
459227,1
459229,3
459236,2
459237,4
459244,1
459247,3
459258,3
459263,4
459264,4
459266,4
459270,3
459284,3
459287,4
459288,1
459289,4
459290,3
459292,4
459293,4
459296,3
459300,3
459307,1
459310,4
459316,1
459318,4
459320,1
459322,4
459323,4
459338,4
459339,3
459344,3
459347,1
459349,3
459352,3
459353,3
459354,3
459355,1
459360,4
459361,4
459362,4
459363,4
459364,3
459369,4
459375,2
459377,3
459383,4
459384,3
459385,3
459386,2
459391,4
459394,4
459397,3
459398,2
459401,4
459403,3
459405,2
459407,4
459409,3
459410,3
459412,3
459413,3
459415,4
459418,2
459419,3
459420,3
459421,4
459422,1
459423,4
459424,1
459428,4
459432,1
459436,4
459439,3
459445,3
459447,1
459449,1
459451,3
459456,4
459458,4
459459,1
459461,3
459464,4
459466,3
459467,3
459469,1
459471,4
459480,3
459481,4
459482,4
459485,3
459496,4
459497,3
459499,2
459503,3
459505,4
459507,2
459509,4
459512,3
459515,1
459516,3
459518,3
459535,3
459536,1
459538,4
459541,3
459549,4
459555,4
459558,4
459564,1
459566,3
459567,3
459571,3
459576,1
459579,3
459581,4
459582,4
459583,1
459585,3
459587,4
459588,1
459591,3
459592,4
459594,3
459597,3
459603,2
459607,3
459608,4
459612,4
459616,4
459617,4
459618,3
459621,4
459625,1
459626,1
459632,2
459644,4
459652,4
459658,3
459664,4
459665,1
459672,4
459673,3
459678,4
459680,4
459686,1
459691,4
459692,3
459693,3
459699,3
459701,4
459710,1
459711,2
459712,4
459713,4
459715,4
459718,1
459725,3
459727,2
459740,4
459742,2
459745,4
459746,3
459747,3
459748,2
459755,1
459756,2
459760,3
459763,4
459767,4
459771,3
459779,3
459780,4
459785,4
459793,3
459795,4
459801,4
459804,2
459806,1
459808,4
459815,4
459816,1
459819,3
459821,2
459822,4
459825,4
459827,4
459832,1
459845,1
459851,4
459853,4
459856,4
459857,4
459861,2
459864,2
459866,4
459867,3
459869,4
459871,1
459885,4
459886,4
459887,4
459889,3
459897,3
459909,1
459910,1
459911,4
459914,4
459923,4
459925,2
459937,4
459943,4
459945,1
459946,3
459949,4
459953,1
459961,1
459962,1
459966,4
459968,4
459970,4
459973,4
459974,4
459975,4
459981,4
459986,1
459995,4
459996,4
459998,4
460004,3
460006,4
460014,4
460023,1
460027,4
460033,3
460036,1
460040,3
460045,1
460046,3
460050,1
460051,4
460052,4
460058,1
460059,4
460061,4
460066,4
460068,4
460073,3
460075,4
460079,4
460081,3
460088,3
460090,4
460093,4
460095,3
460097,1
460099,4
460101,4
460103,4
460105,4
460106,3
460107,3
460108,3
460109,3
460110,4
460112,3
460116,3
460118,3
460119,4
460122,4
460124,4
460126,3
460134,3
460135,4
460140,3
460141,4
460144,4
460146,3
460147,3
460157,4
460160,4
460162,4
460166,4
460167,4
460168,3
460171,3
460174,4
460175,4
460177,4
460179,4
460183,4
460185,4
460187,4
460189,4
460190,4
460192,1
460196,4
460206,3
460211,1
460212,1
460214,3
460222,3
460223,4
460227,4
460242,1
460243,4
460247,4
460248,4
460252,1
460263,1
460265,3
460270,4
460272,4
460275,4
460276,3
460281,4
460283,1
460284,4
460287,1
460289,3
460298,4
460303,4
460305,3
460306,4
460310,4
460315,4
460319,1
460322,1
460323,4
460324,4
460327,4
460333,4
460336,4
460340,4
460341,4
460344,3
460346,3
460348,4
460349,3
460354,4
460356,4
460358,4
460361,3
460362,1
460365,3
460369,3
460370,3
460371,4
460378,4
460379,4
460380,4
460381,4
460384,3
460387,4
460388,4
460389,3
460390,4
460392,4
460394,4
460397,4
460399,4
460401,4
460404,1
460405,4
460406,1
460408,4
