ID,Segmentation
458989,0
458994,2
458996,2
459000,2
459001,3
459003,1
459005,0
459008,2
459013,2
459014,3
459015,3
459016,3
459024,2
459026,3
459032,3
459033,1
459036,0
459039,2
459041,1
459045,1
459056,1
459057,3
459058,0
459059,1
459061,2
459064,3
459065,0
459074,2
459077,1
459079,0
459080,3
459083,2
459090,0
459091,2
459093,2
459100,1
459106,1
459114,2
459116,2
459117,2
459118,3
459119,2
459120,3
459121,2
459123,2
459130,1
459132,3
459136,2
459140,3
459143,1
459144,1
459145,0
459150,1
459160,2
459161,1
459162,2
459163,0
459167,2
459170,0
459171,2
459172,3
459175,2
459181,1
459182,2
459184,0
459185,3
459193,0
459194,2
459196,3
459208,2
459209,3
459210,2
459212,2
459213,3
459216,2
459220,2
459221,0
459222,2
459223,2
459224,2
459227,0
459229,1
459236,1
459237,0
459244,1
459247,2
459258,1
459263,3
459264,1
459266,3
459270,1
459284,2
459287,3
459288,2
459289,0
459290,2
459292,1
459293,3
459296,2
459300,2
459307,0
459310,0
459316,3
459318,3
459320,3
459322,3
459323,3
459338,3
459339,3
459344,2
459347,0
459349,2
459352,1
459353,2
459354,2
459355,0
459360,3
459361,3
459362,0
459363,1
459364,2
459369,0
459375,0
459377,2
459383,0
459384,2
459385,2
459386,0
459391,0
459394,3
459397,2
459398,3
459401,3
459403,2
459405,0
459407,0
459409,1
459410,2
459412,2
459413,2
459415,3
459418,1
459419,2
459420,1
459421,3
459422,3
459423,3
459424,0
459428,3
459432,0
459436,2
459439,2
459445,2
459447,1
459449,1
459451,2
459456,3
459458,3
459459,1
459461,0
459464,0
459466,2
459467,2
459469,3
459471,2
459480,0
459481,0
459482,3
459485,2
459496,0
459497,0
459499,0
459503,2
459505,0
459507,3
459509,3
459512,1
459515,0
459516,2
459518,2
459535,2
459536,3
459538,0
459541,2
459549,3
459555,0
459558,3
459564,3
459566,1
459567,2
459571,1
459576,3
459579,1
459581,0
459582,3
459583,1
459585,2
459587,0
459588,1
459591,2
459592,3
459594,2
459597,2
459603,0
459607,1
459608,1
459612,3
459616,3
459617,3
459618,2
459621,3
459625,0
459626,0
459632,3
459644,0
459652,3
459658,2
459664,0
459665,0
459672,1
459673,0
459678,3
459680,0
459686,1
459691,2
459692,2
459693,2
459699,2
459701,1
459710,1
459711,3
459712,3
459713,3
459715,3
459718,3
459725,1
459727,0
459740,3
459742,0
459745,0
459746,2
459747,2
459748,2
459755,2
459756,1
459760,1
459763,3
459767,3
459771,0
459779,1
459780,0
459785,0
459793,2
459795,1
459801,3
459804,1
459806,1
459808,1
459815,0
459816,0
459819,1
459821,1
459822,0
459825,3
459827,0
459832,1
459845,3
459851,0
459853,3
459856,1
459857,3
459861,1
459864,1
459866,2
459867,2
459869,3
459871,0
459885,0
459886,0
459887,2
459889,2
459897,2
459909,1
459910,1
459911,3
459914,0
459923,3
459925,3
459937,0
459943,0
459945,1
459946,2
459949,1
459953,2
459961,0
459962,1
459966,3
459968,0
459970,0
459973,2
459974,0
459975,1
459981,1
459986,1
459995,0
459996,0
459998,2
460004,1
460006,3
460014,3
460023,0
460027,0
460033,0
460036,0
460040,1
460045,1
460046,2
460050,0
460051,0
460052,3
460058,1
460059,0
460061,3
460066,3
460068,0
460073,0
460075,0
460079,0
460081,2
460088,0
460090,0
460093,1
460095,1
460097,1
460099,1
