iter	RMSE
0	0.8436150397
1	0.8262294305
2	0.8111628752
3	0.7984845758
4	0.7870495276
5	0.7776366497
6	0.7696840774
7	0.7621991623
8	0.7560387622
9	0.7508944672
10	0.7461344801
11	0.7421001913
12	0.7380994491
13	0.7349375619
14	0.7325847966
15	0.7304652588
16	0.7282534113
17	0.7262978162
18	0.7240151046
19	0.7219748902
20	0.7204595904
21	0.7187063967
22	0.7175860101
23	0.7163999879
24	0.7150964248
25	0.7143017577
26	0.7134813626
27	0.7129105607
28	0.7122172956
29	0.7116924015
30	0.7109262558
31	0.7100958033
32	0.7094534417
33	0.7088995188
34	0.7084162535
35	0.7079907618
36	0.7076238381
37	0.7070325428
38	0.7067728528
39	0.7063103123
40	0.7057325172
41	0.7055589449
42	0.7053715522
43	0.7050794989
44	0.7049301561
45	0.7042943338
46	0.7037548752
47	0.7032509752
48	0.7029376509
49	0.7025999485
50	0.7022221404
51	0.7018588893
52	0.7014730915
53	0.7012854419
54	0.7010750118
55	0.7009569046
56	0.7006378212
57	0.7005245231
58	0.7002994917
59	0.7000420041
60	0.6999242831
61	0.699809616
62	0.6996790354
63	0.6994459672
64	0.6990721986
65	0.6989087462
66	0.6987798343
67	0.6987094269
68	0.6985801154
69	0.6984908684
70	0.6983753696
71	0.6981646811
72	0.6980289569
73	0.6977984841
74	0.6977316365
75	0.6974948381
76	0.6974129358
77	0.6972151959
78	0.6971646347
79	0.6970561284
80	0.6968229824
81	0.6964713936
82	0.6963339168
83	0.6962160925
84	0.6959668932
85	0.6958402166
86	0.695663609
87	0.6955754062
88	0.6954638517
89	0.6954270014
90	0.6952984003
91	0.6951305149
92	0.6949867474
93	0.6949150371
94	0.6948172072
95	0.6947100817
96	0.6946459381
97	0.6945815574
98	0.6944309609
99	0.6942665524
100	0.694200585
101	0.6941259574
102	0.6940246133
103	0.6939042551
104	0.6937986275
105	0.6937413657
106	0.6936012156
107	0.6935991857
108	0.6935242402
109	0.6934337868
110	0.6933722456
111	0.6932559054
112	0.6930927197
113	0.692999007
114	0.6929211087
115	0.6928374493
116	0.6927334587
117	0.6926774333
118	0.692618376
119	0.6925251959
120	0.6924580802
121	0.6923698874
122	0.6923299105
123	0.6922497144
124	0.6922170741
125	0.692178898
126	0.6921316909
127	0.6920379917
128	0.6918829694
129	0.6918439513
130	0.6917628987
131	0.6917034819
132	0.6916527879
133	0.6915840775
134	0.6915293189
135	0.6914709534
136	0.6914487224
137	0.6913954164
138	0.6913251277
139	0.6912591495
140	0.6912282287
141	0.6911688039
142	0.6910792186
143	0.6910503959
144	0.6909904527
145	0.6909102139
146	0.6908487007
147	0.6907812262
148	0.6907469828
149	0.6907196948
150	0.6906904949
151	0.6906542461
152	0.6905947077
153	0.690572325
154	0.6905254892
155	0.6904601643
156	0.6904158175
157	0.6903744944
158	0.6903453883
159	0.6903075904
160	0.6902823762
161	0.690218587
162	0.690163711
163	0.6901347416
164	0.6901074858
165	0.6900654751
166	0.690003899
167	0.6899625768
168	0.689928724
169	0.6898914967
170	0.6898650171
171	0.6898075774
172	0.6897684398
173	0.6897053353
174	0.6896730809
175	0.6896437442
176	0.6895926079
177	0.6895785326
178	0.6895483881
179	0.6895109204
180	0.6894516545
181	0.6894022379
182	0.6893603501
183	0.6892990884
184	0.6892503412
185	0.68920488
186	0.6891420881
187	0.6891014618
188	0.6890677148
189	0.6890235518
190	0.6889896523
191	0.6889263434
192	0.68890138
193	0.6888566459
194	0.6888303174
195	0.68877633
196	0.6887352143
197	0.6887051465
198	0.68866468
199	0.6886192602
200	0.6886030426
201	0.6885857272
202	0.6885463203
203	0.6885087025
204	0.6884752781
205	0.6884293056
206	0.6883994282
207	0.6883414216
208	0.6883211666
209	0.688272928
210	0.6882313195
211	0.688183483
212	0.6881479117
213	0.6881032629
214	0.6880735294
215	0.6880456175
216	0.6879894821
217	0.6879587624
218	0.6879314963
219	0.6878989105
220	0.6878619548
221	0.6878229847
222	0.6878032611
223	0.6877704487
224	0.6877498013
225	0.6877190376
226	0.6876713911
227	0.687645713
228	0.6876283836
229	0.6876096169
230	0.6875632045
231	0.6875298177
232	0.6874846676
233	0.6874584575
234	0.6874395328
235	0.6873775231
236	0.6873586651
237	0.6873409407
238	0.6873131552
239	0.6872815781
240	0.687267639
241	0.6872460565
242	0.6872095971
243	0.6871784986
244	0.6871624073
245	0.6871182033
246	0.687098827
247	0.6870685567
248	0.687025198
249	0.6869893977
250	0.6869745209
251	0.6869440588
252	0.6869121204
253	0.6868808028
254	0.6868705987
255	0.6868329149
256	0.6868137953
257	0.6867785507
258	0.6867594803
259	0.6867380087
260	0.6867176049
261	0.6866927915
262	0.6866566326
263	0.6866370382
264	0.6865925491
265	0.6865751341
266	0.686555936
267	0.6865400923
268	0.68650725
269	0.6864896486
270	0.6864445626
271	0.6864285543
272	0.6864052661
273	0.6863850137
274	0.6863657659
275	0.686348191
276	0.6863308216
277	0.6863090267
278	0.6862990869
279	0.6862717326
280	0.6862649199
281	0.6862312677
282	0.6862108216
283	0.6861858705
284	0.6861580924
285	0.6861383134
286	0.686094288
287	0.686034109
288	0.6860091137
289	0.6859665504
290	0.6859371941
291	0.6859023655
292	0.6858796171
293	0.6858502961
294	0.685816531
295	0.6857872702
296	0.6857735637
297	0.6857463019
298	0.685724889
299	0.6857056062
300	0.6856830593
301	0.6856768178
302	0.6856623157
303	0.6856335411
304	0.6856068384
305	0.6855924589
306	0.6855715129
307	0.685553104
308	0.6855377386
309	0.6855149918
310	0.6854946036
311	0.6854809026
312	0.6854362475
313	0.6854122166
314	0.6853941183
315	0.6853660929
316	0.6853395538
317	0.685309812
318	0.6852929478
319	0.6852738936
320	0.6852422805
321	0.6852143922
322	0.6851852367
323	0.6851688856
324	0.6851578149
325	0.6851233724
326	0.6851034989
327	0.6850811666
328	0.6850623869
329	0.6850364044
330	0.6850116251
331	0.6849880263
332	0.6849685043
333	0.6849486879
