iter	Passed	Remaining
0	113	113386
1	144	71868
2	194	64616
3	210	52382
4	220	43811
5	227	37707
6	234	33280
7	241	29893
8	247	27249
9	253	25093
10	259	23349
11	266	21928
12	272	20698
13	278	19639
14	286	18830
15	292	18016
16	299	17294
17	305	16654
18	312	16111
19	319	15668
20	325	15185
21	332	14782
22	339	14423
23	349	14207
24	356	13919
25	366	13734
26	373	13459
27	380	13193
28	386	12956
29	393	12735
30	400	12524
31	406	12306
32	415	12174
33	422	12007
34	429	11829
35	435	11667
36	442	11520
37	450	11413
38	457	11271
39	465	11181
40	472	11048
41	481	10983
42	488	10861
43	494	10738
44	499	10602
45	505	10493
46	512	10394
47	518	10280
48	526	10209
49	534	10164
50	543	10117
51	552	10065
52	562	10046
53	569	9970
54	579	9965
55	586	9888
56	593	9812
57	601	9770
58	612	9770
59	620	9724
60	628	9679
61	636	9627
62	642	9554
63	648	9480
64	654	9418
65	663	9383
66	671	9345
67	678	9298
68	684	9231
69	690	9173
70	696	9110
71	702	9058
72	710	9023
73	716	8970
74	722	8908
75	728	8856
76	735	8810
77	744	8795
78	754	8795
79	762	8763
80	769	8728
81	776	8694
82	782	8646
83	792	8639
84	798	8594
85	805	8561
86	811	8517
87	818	8481
88	824	8442
89	830	8399
90	838	8370
91	844	8334
92	850	8296
93	857	8262
94	863	8226
95	872	8211
96	878	8177
97	883	8135
98	889	8099
99	897	8076
100	903	8043
101	909	8005
102	915	7973
103	921	7938
104	927	7903
105	933	7875
106	940	7845
107	944	7798
108	950	7772
109	966	7821
110	976	7819
111	985	7817
112	999	7847
113	1008	7839
114	1018	7837
115	1024	7807
116	1032	7793
117	1038	7764
118	1046	7750
119	1054	7731
120	1062	7716
121	1068	7690
122	1074	7659
123	1082	7649
124	1088	7620
125	1097	7614
126	1104	7594
127	1113	7584
128	1119	7561
129	1126	7539
130	1134	7528
131	1146	7539
132	1153	7521
133	1164	7523
134	1171	7507
135	1179	7494
136	1185	7465
137	1191	7441
138	1200	7434
139	1206	7411
140	1212	7386
141	1218	7361
142	1224	7339
143	1230	7315
144	1237	7294
145	1245	7284
146	1250	7259
147	1257	7239
148	1264	7224
149	1270	7200
150	1276	7176
151	1281	7151
152	1287	7129
153	1294	7112
154	1301	7097
155	1308	7079
156	1314	7055
157	1320	7035
158	1328	7026
159	1333	7001
160	1338	6976
161	1345	6959
162	1352	6946
163	1360	6934
164	1367	6921
165	1374	6903
166	1380	6886
167	1388	6876
168	1395	6860
169	1401	6841
170	1407	6821
171	1413	6802
172	1418	6781
173	1426	6774
174	1432	6753
175	1438	6733
176	1444	6715
177	1449	6693
178	1456	6680
179	1462	6664
180	1469	6649
181	1475	6632
182	1481	6614
183	1487	6598
184	1493	6581
185	1499	6564
186	1507	6552
187	1513	6535
188	1521	6529
189	1529	6520
190	1537	6513
191	1544	6499
192	1554	6499
193	1561	6487
194	1571	6485
195	1577	6471
196	1586	6468
197	1593	6452
198	1600	6440
199	1606	6426
200	1612	6408
201	1619	6397
202	1625	6383
203	1632	6370
204	1638	6355
205	1646	6344
206	1653	6335
207	1660	6323
208	1667	6310
209	1674	6297
210	1680	6285
211	1688	6276
212	1696	6266
213	1705	6263
214	1712	6251
215	1719	6242
216	1727	6232
217	1733	6219
218	1739	6204
219	1747	6194
220	1755	6187
221	1764	6182
222	1771	6172
223	1778	6162
224	1786	6154
225	1796	6153
226	1804	6144
227	1813	6141
228	1820	6128
229	1827	6117
230	1834	6107
231	1842	6098
232	1851	6096
233	1858	6082
234	1863	6067
235	1870	6055
236	1877	6043
237	1882	6028
238	1889	6015
239	1895	6002
240	1901	5987
241	1906	5973
242	1914	5964
243	1920	5948
244	1927	5938
245	1934	5928
246	1940	5916
247	1948	5909
248	1956	5899
249	1964	5893
250	1971	5883
251	1981	5880
252	1988	5870
253	1994	5857
254	1999	5842
255	2006	5832
256	2012	5819
257	2018	5804
258	2025	5795
259	2033	5786
260	2041	5781
261	2047	5767
262	2054	5757
263	2060	5744
264	2067	5734
265	2075	5726
266	2082	5715
267	2088	5705
268	2094	5692
269	2100	5678
270	2108	5671
271	2115	5662
272	2123	5655
273	2130	5644
274	2137	5635
275	2144	5625
276	2151	5615
277	2158	5606
278	2164	5593
279	2173	5590
280	2180	5579
281	2188	5572
282	2194	5560
283	2202	5552
284	2212	5549
285	2221	5544
286	2227	5534
287	2235	5527
288	2243	5519
289	2250	5511
290	2257	5500
291	2264	5491
292	2270	5479
293	2276	5466
294	2283	5458
295	2289	5446
296	2295	5434
297	2303	5425
298	2309	5414
299	2320	5414
300	2326	5402
301	2334	5395
302	2342	5388
303	2349	5379
304	2356	5370
305	2366	5366
306	2376	5365
307	2387	5363
308	2392	5350
309	2401	5345
310	2407	5332
311	2415	5326
312	2422	5316
313	2430	5309
314	2436	5299
315	2442	5286
316	2451	5281
317	2457	5271
318	2468	5268
319	2474	5257
320	2483	5252
321	2489	5241
322	2498	5237
323	2505	5228
324	2513	5220
325	2520	5210
326	2526	5199
327	2532	5188
328	2538	5177
329	2550	5178
330	2557	5169
331	2566	5163
332	2574	5155
333	2581	5147
334	2587	5135
335	2593	5125
336	2601	5117
337	2607	5106
338	2629	5127
339	2646	5138
340	2658	5137
341	2666	5131
342	2673	5120
343	2679	5109
344	2685	5098
345	2692	5089
346	2697	5077
347	2703	5064
348	2709	5053
