iter	Logloss
0	0.6885601149
1	0.6850001464
2	0.6820505062
3	0.6804039788
4	0.6791082291
5	0.6771228409
6	0.6753909436
7	0.6744303817
8	0.6736849006
9	0.6730147008
10	0.6722470724
11	0.6716016735
12	0.6710818247
13	0.6705473906
14	0.6697243209
15	0.6693722785
16	0.6690033311
17	0.6687540609
18	0.6685030361
19	0.6681905799
20	0.6679016343
21	0.6675120074
22	0.6669703974
23	0.6667700106
24	0.6665434775
25	0.666173609
26	0.6659345449
27	0.6655825183
28	0.6655023505
29	0.665110719
30	0.6649422254
31	0.6646575135
32	0.6645295643
33	0.6643129674
34	0.6641521153
35	0.6640741001
36	0.663651037
37	0.6636091326
38	0.6634843268
39	0.663332227
40	0.6632758543
41	0.6631718657
42	0.6631148239
43	0.6629972635
44	0.6626163547
45	0.6624780729
46	0.6624387748
47	0.6621205207
48	0.661939237
49	0.6615431088
50	0.6614551313
51	0.6613513029
52	0.6612614717
53	0.6611864595
54	0.6611334392
55	0.6609917807
56	0.6609338958
57	0.660817002
58	0.6606855565
59	0.6606651073
60	0.6603669649
61	0.6602178213
62	0.66008197
63	0.6600337554
64	0.6597814819
65	0.6597044925
66	0.6594604014
67	0.6592506079
68	0.6591747223
69	0.6591155295
70	0.6589629065
71	0.6589198788
72	0.6587852879
73	0.6586553168
74	0.658619097
75	0.6585296989
76	0.6585004265
77	0.6583974492
78	0.6583604385
79	0.6582976157
80	0.6581439316
81	0.6580210192
82	0.6578943487
83	0.6578342472
84	0.6578004264
85	0.657722152
86	0.6576266225
87	0.6576020791
88	0.6575763071
89	0.6575441357
90	0.6574558306
91	0.6572892772
92	0.6571667797
93	0.6570784644
94	0.6570167234
95	0.6569679483
96	0.6568576017
97	0.6567217242
98	0.6566432973
99	0.6566176415
100	0.6565987151
101	0.6565128378
102	0.6564550173
103	0.6563863481
104	0.6563087789
105	0.6562736118
106	0.6562422698
107	0.6560877387
108	0.6560005855
109	0.6559764617
110	0.6559482475
111	0.6559187352
112	0.6557917824
113	0.6557343591
114	0.6556280885
115	0.6556030688
116	0.6554816304
117	0.6553021477
118	0.6552838573
119	0.6552336985
120	0.65519029
121	0.6551168059
122	0.6550590266
123	0.6550010286
124	0.6549810241
125	0.654855499
126	0.6547830223
127	0.65471788
128	0.6546765258
129	0.6545922335
130	0.6545663601
131	0.6544732948
132	0.6544457532
133	0.6544058819
134	0.6543419318
135	0.6543018373
136	0.6542822093
137	0.654184706
138	0.6541252588
139	0.654029202
140	0.6539877291
141	0.6538558138
142	0.6538155119
143	0.6537910601
144	0.6537005609
145	0.6536542331
146	0.6534646679
147	0.6533904476
148	0.6533607759
149	0.653312461
150	0.6532935243
151	0.6532592699
152	0.6531824922
153	0.6531268437
154	0.6530353347
155	0.6529399225
156	0.6529003752
157	0.6528758675
158	0.652769007
159	0.6527338798
160	0.6526934794
161	0.6525926555
162	0.652497809
163	0.6523863244
164	0.6523265076
165	0.6522952601
166	0.6521877235
167	0.6520791214
168	0.6520376588
169	0.6519952596
170	0.651901507
171	0.6518360347
172	0.6517281151
173	0.6516471524
174	0.6515450471
175	0.6515084818
176	0.6514131596
177	0.6513229075
178	0.6512372309
179	0.6511545317
180	0.6511272107
181	0.6510555199
182	0.6510089636
183	0.6509765298
184	0.6509104601
185	0.6508157344
186	0.6507514292
187	0.6506864725
188	0.6506263123
189	0.6505730893
190	0.6504813497
191	0.6504106779
192	0.6503720085
193	0.650338732
194	0.650060596
195	0.649981186
196	0.6499262744
197	0.6498638591
198	0.649839175
199	0.6497941579
