iter	Passed	Remaining
0	161	32150
1	207	20531
2	234	15411
3	249	12223
4	260	10154
5	272	8813
6	287	7923
7	298	7152
8	309	6574
9	321	6113
10	333	5721
11	344	5399
12	356	5128
13	374	4969
14	391	4829
15	405	4665
16	423	4555
17	435	4401
18	447	4264
19	459	4132
20	471	4015
21	483	3909
22	495	3809
23	505	3703
24	515	3607
25	529	3543
26	539	3457
27	551	3385
28	561	3310
29	579	3286
30	596	3253
31	616	3236
32	628	3180
33	639	3123
34	653	3078
35	663	3021
36	673	2969
37	684	2916
38	693	2864
39	704	2817
40	717	2781
41	727	2737
42	737	2694
43	747	2651
44	758	2612
45	769	2575
46	779	2536
47	799	2530
48	816	2515
49	828	2486
50	842	2461
51	855	2434
52	872	2421
53	890	2408
54	905	2386
55	920	2366
56	938	2354
57	952	2333
58	968	2314
59	987	2304
60	1001	2281
61	1014	2257
62	1029	2237
63	1044	2219
64	1057	2196
65	1070	2172
66	1082	2148
67	1094	2124
68	1105	2099
69	1117	2075
70	1129	2052
71	1140	2026
72	1152	2005
73	1164	1982
74	1176	1960
75	1188	1939
76	1202	1921
77	1221	1910
78	1235	1892
79	1249	1874
80	1260	1851
81	1271	1829
82	1284	1810
83	1294	1787
84	1304	1764
85	1314	1742
86	1324	1720
87	1335	1699
88	1345	1678
89	1355	1656
90	1368	1639
91	1378	1618
92	1389	1598
93	1399	1578
94	1416	1565
95	1430	1549
96	1446	1536
97	1460	1519
98	1471	1501
99	1481	1481
100	1492	1463
101	1508	1449
102	1519	1431
103	1530	1413
104	1540	1393
105	1551	1375
106	1580	1373
107	1607	1369
108	1624	1355
109	1639	1341
110	1657	1329
111	1672	1314
112	1688	1300
113	1703	1285
114	1716	1269
115	1727	1250
116	1738	1232
117	1748	1215
118	1758	1196
119	1768	1178
120	1782	1163
121	1797	1149
122	1812	1134
123	1832	1122
124	1846	1108
125	1862	1093
126	1878	1079
127	1888	1062
128	1898	1045
129	1909	1028
130	1920	1011
131	1930	994
132	1941	978
133	1952	961
134	1961	944
135	1971	927
136	1982	911
137	1995	896
138	2005	880
139	2015	863
140	2026	847
141	2042	834
142	2058	820
143	2070	805
144	2081	789
145	2091	773
146	2102	757
147	2112	742
148	2122	726
149	2133	711
150	2143	695
151	2155	680
152	2166	665
153	2176	650
154	2188	635
155	2199	620
156	2212	605
157	2223	591
158	2234	576
159	2248	562
160	2262	548
161	2276	534
162	2289	519
163	2300	505
164	2310	490
165	2325	476
166	2337	461
167	2348	447
168	2359	432
169	2369	418
170	2379	403
171	2389	389
172	2401	374
173	2414	360
174	2424	346
175	2435	332
176	2446	317
177	2460	304
178	2475	290
179	2488	276
180	2502	262
181	2513	248
182	2523	234
183	2533	220
184	2544	206
185	2554	192
186	2564	178
187	2575	164
188	2586	150
189	2597	136
190	2607	122
191	2617	109
192	2627	95
193	2638	81
194	2648	67
195	2659	54
196	2675	40
197	2689	27
198	2701	13
199	2712	0
