iter	MultiClass
0	1.05989365
1	1.02740356
2	0.9997184149
3	0.9759962442
4	0.9557616609
5	0.9379589952
6	0.9225479456
7	0.9090017842
8	0.8972014686
9	0.886457669
10	0.8774151636
11	0.8689735596
12	0.8615217329
13	0.8553893127
14	0.8491160825
15	0.8437042305
16	0.8389100235
17	0.8346664478
18	0.8303048802
19	0.8267698512
20	0.8235394303
21	0.8203793672
22	0.8178174674
23	0.8147881338
24	0.8121408714
25	0.8097123043
26	0.8079123847
27	0.8059015056
28	0.8041738998
29	0.8022748465
30	0.8008813242
31	0.7993228326
32	0.7975495653
33	0.7962658551
34	0.7950311807
35	0.7937594702
36	0.7924949083
37	0.791322115
38	0.7901761896
39	0.7890808465
40	0.7877860463
41	0.7866021965
42	0.7856409596
43	0.7846088717
44	0.7835755167
45	0.7825462456
46	0.7815787656
47	0.7807398407
48	0.7800235813
49	0.7793682757
50	0.7785887223
51	0.7778667405
52	0.7771502779
53	0.7763110678
54	0.7755819255
55	0.7748082264
56	0.7740130373
57	0.7734737063
58	0.7728643648
59	0.7723356244
60	0.7716539712
61	0.7709889967
62	0.7704250264
63	0.7698413966
64	0.769267592
65	0.7687389414
66	0.7682875465
67	0.7676207019
68	0.7671911629
69	0.7667382649
70	0.766157277
71	0.7657620709
72	0.7652921757
73	0.7647960768
74	0.7643633383
75	0.764001853
76	0.7636389765
77	0.7633320711
78	0.7628048106
79	0.7625005723
80	0.7619879882
81	0.7615951794
82	0.7612796086
83	0.7609743849
84	0.7606536399
85	0.7603637408
86	0.7600068405
87	0.7597083104
88	0.7594539229
89	0.7590217957
90	0.7587213981
91	0.7584572758
92	0.7582271237
93	0.757938668
94	0.7576525041
95	0.7573162928
96	0.7570283262
97	0.7567729545
98	0.7565052692
99	0.7562124505
100	0.7559997458
101	0.7557485293
102	0.7555193994
103	0.7552712474
104	0.7550819995
105	0.7548491431
106	0.7546569756
107	0.7544581012
108	0.7542763729
109	0.7540537186
110	0.753846494
111	0.7536730879
112	0.7534459561
113	0.7531329406
114	0.7529562709
115	0.7527514315
116	0.7525970915
117	0.7523254505
118	0.7521496103
119	0.7519749762
120	0.7518079046
121	0.7516609387
122	0.7515104194
123	0.7513676933
124	0.7511217523
125	0.7509654099
126	0.7508081871
127	0.7506640689
128	0.750410161
129	0.7502491976
130	0.7500727906
131	0.7498102887
132	0.7496470313
133	0.7494860363
134	0.7493168967
135	0.7491692693
136	0.7489954361
137	0.7488206414
138	0.7486922868
139	0.7485601187
140	0.7484413246
141	0.7483320367
142	0.7481755686
143	0.7479812055
144	0.7478509752
145	0.7476314418
146	0.7475264677
147	0.7474136288
148	0.7472755062
149	0.7471602357
150	0.7470691363
151	0.7469585318
152	0.7468473202
153	0.7467540567
154	0.7465804746
155	0.7465090802
156	0.7463927103
157	0.7462607281
158	0.7461326762
159	0.7460458991
160	0.7459230075
161	0.7457495201
162	0.7456528771
163	0.7455444787
164	0.745468305
165	0.7453850008
166	0.7452979035
167	0.7451806186
168	0.7450085046
169	0.7448863337
170	0.7448014173
171	0.7447109566
172	0.7446168219
173	0.7445199578
174	0.7444351258
175	0.7443600198
176	0.7442480435
177	0.744186082
178	0.7440654638
179	0.7439422126
180	0.7438604728
181	0.7437872637
182	0.7437055652
183	0.743616801
184	0.7435354563
185	0.7434576534
186	0.743321456
187	0.7432557133
188	0.7431655209
189	0.7430480359
190	0.7429544637
191	0.7428498802
192	0.7427770909
193	0.7426960587
194	0.7426149179
195	0.7425575816
196	0.7424937803
197	0.7424297949
198	0.7423290961
199	0.7422597955
