iter	Passed	Remaining
0	40	8026
1	78	7785
2	116	7681
3	156	7670
4	195	7622
5	234	7584
6	296	8171
7	343	8249
8	383	8142
9	423	8053
10	461	7937
11	507	7950
12	562	8089
13	601	7992
14	641	7914
15	680	7827
16	731	7875
17	783	7918
18	825	7860
19	863	7773
20	901	7686
21	947	7668
22	1010	7775
23	1103	8091
24	1172	8205
25	1237	8282
26	1305	8362
27	1349	8291
28	1399	8249
29	1452	8229
30	1491	8132
31	1531	8041
32	1571	7953
33	1617	7898
34	1668	7864
35	1712	7799
36	1753	7726
37	1791	7639
38	1835	7577
39	1889	7558
40	1931	7488
41	1971	7418
42	2012	7347
43	2062	7313
44	2113	7278
45	2151	7203
46	2191	7135
47	2233	7071
48	2282	7035
49	2336	7009
50	2399	7010
51	2460	7003
52	2533	7027
53	2592	7010
54	2636	6949
55	2674	6876
56	2715	6812
57	2764	6768
58	2813	6723
59	2852	6656
60	2892	6590
61	2930	6521
62	2972	6463
63	3025	6429
64	3065	6366
65	3105	6304
66	3142	6238
67	3191	6195
68	3241	6154
69	3278	6089
70	3318	6029
71	3355	5965
72	3402	5919
73	3454	5882
74	3496	5828
75	3534	5766
76	3573	5707
77	3618	5659
78	3668	5619
79	3707	5561
80	3747	5505
81	3786	5448
82	3827	5395
83	3884	5364
84	3923	5308
85	3963	5253
86	4004	5200
87	4052	5157
88	4114	5131
89	4154	5077
90	4192	5021
91	4240	4977
92	4299	4946
93	4354	4909
94	4395	4858
95	4435	4805
96	4475	4752
97	4525	4710
98	4574	4666
99	4614	4614
100	4651	4559
101	4688	4504
102	4729	4454
103	4780	4412
104	4825	4365
105	4864	4313
106	4901	4259
107	4948	4215
108	5008	4181
109	5084	4160
110	5143	4123
111	5193	4080
112	5232	4028
113	5272	3977
114	5310	3925
115	5349	3874
116	5396	3828
117	5478	3807
118	5515	3754
119	5553	3702
120	5593	3651
121	5645	3609
122	5685	3559
123	5723	3508
124	5763	3457
125	5801	3407
126	5842	3358
127	5917	3328
128	6004	3305
129	6093	3281
130	6184	3257
131	6232	3210
132	6273	3160
133	6315	3110
134	6356	3060
135	6403	3013
136	6451	2966
137	6490	2915
138	6528	2865
139	6565	2813
140	6605	2764
141	6658	2719
142	6696	2669
143	6736	2619
144	6773	2569
145	6824	2524
146	6876	2479
147	6922	2432
148	6967	2384
149	7005	2335
150	7057	2290
151	7111	2245
152	7159	2199
153	7217	2155
154	7300	2119
155	7386	2083
156	7457	2042
157	7499	1993
158	7554	1948
159	7595	1898
160	7636	1849
161	7684	1802
162	7735	1755
163	7798	1711
164	7853	1665
165	7921	1622
166	7986	1578
167	8040	1531
168	8086	1483
169	8133	1435
170	8179	1387
171	8216	1337
172	8263	1289
173	8311	1241
174	8360	1194
175	8408	1146
176	8448	1097
177	8497	1050
178	8545	1002
179	8583	953
180	8620	904
181	8661	856
182	8719	810
183	8770	762
184	8813	714
185	8851	666
186	8906	619
187	8963	572
188	9004	524
189	9041	475
190	9079	427
191	9118	379
192	9158	332
193	9210	284
194	9246	237
195	9295	189
196	9340	142
197	9389	94
198	9463	47
199	9511	0
